Variable,TipoOriginal,TipoConvertido,Descripcion,UsoAnalitico,ReglaValidacion,Transformacion,Restricciones,PorcentajeNulos,NumeroValoresUnicos
FechaCont,datetime64[us],datetime64[ns],Fecha contable de la transaccion (posible primer dia del mes en algunos periodos).,Construccion de series temporales mensuales (calendario).,Debe ser una fecha valida y convertible a datetime.,Ninguna / segun depuracion,No se renombra ni se elimina sin registro en bitacora.,0.0,891
Cardcode,object,string (categorica/texto),Codigo del socio de negocio (proveedor o tercero) asociado a la transaccion.,Anonimizacion; conteo de proveedores.,Se documenta el porcentaje de nulos y valores unicos.,Anonimizacion (hash estable),No se renombra ni se elimina sin registro en bitacora.,0.0,528
CardName,str,string (categorica/texto),Nombre del socio de negocio (proveedor o tercero).,Anonimizacion; no se conserva en el paquete academico.,Se documenta el porcentaje de nulos y valores unicos.,Anonimizacion (hash estable),No se renombra ni se elimina sin registro en bitacora.,0.0,502
ItemCode,object,string (categorica/texto),Codigo del item o servicio transaccionado.,Nivel de analisis individual (series por item).,Se documenta el porcentaje de nulos y valores unicos.,Ninguna / segun depuracion,No se renombra ni se elimina sin registro en bitacora.,0.0,5291
ItemDescripcion,str,string (categorica/texto),Descripcion general del item o servicio.,Validacion de correspondencia codigo-descripcion.,Se documenta el porcentaje de nulos y valores unicos.,Ninguna / segun depuracion,No se renombra ni se elimina sin registro en bitacora.,0.0,5794
ItemDetalles,object,string (categorica/texto),Detalle textual libre de la transaccion (observaciones).,"Auditoria de calidad (texto libre, no estructurado).",Se documenta el porcentaje de nulos y valores unicos.,Ninguna / segun depuracion,No se renombra ni se elimina sin registro en bitacora.,36.7775,6548
Quantity,float64,float64,Cantidad transaccionada del item.,Variable de cantidad; construccion de demanda mensual.,Se documenta pero no se fuerza a positivo (se reporta si hay negativos/ceros).,Ninguna / segun depuracion,No se renombra ni se elimina sin registro en bitacora.,0.0,196
PrecioUnitarioSinDescuento,float64,float64,Precio unitario antes de aplicar descuento (USD).,Validacion monetaria (calculo de costo).,Se documenta el porcentaje de nulos y valores unicos.,Ninguna / segun depuracion,No se renombra ni se elimina sin registro en bitacora.,25.1616,2166
DescuentoUnitario,float64,float64,Descuento unitario aplicado (USD).,Validacion monetaria (calculo de costo).,Se documenta el porcentaje de nulos y valores unicos.,Ninguna / segun depuracion,No se renombra ni se elimina sin registro en bitacora.,25.1801,2478
PrecioUnitario,float64,float64,Precio unitario efectivo despues de descuento (USD).,Calculo de CostoCalculado = Quantity * PrecioUnitario.,Se contrasta contra PrecioUnitarioSinDescuento - DescuentoUnitario.,Ninguna / segun depuracion,No se renombra ni se elimina sin registro en bitacora.,25.1616,6275
SubTotal,float64,float64,Costo total de la linea de transaccion (USD). Variable monetaria principal.,Variable objetivo monetaria (costo mensual agregado).,Se contrasta contra Quantity * PrecioUnitario (CostoCalculado).,Ninguna / segun depuracion,No se renombra ni se elimina sin registro en bitacora.,0.0,9368
Unidad,str,string (categorica/texto),Identificador de la nave o unidad operativa (a anonimizar).,Nivel de analisis por nave (anonimizada).,Se documenta el porcentaje de nulos y valores unicos.,Anonimizacion (hash estable),No se renombra ni se elimina sin registro en bitacora.,0.0,14
Tipo,str,string (categorica/texto),"Clasificacion general de la unidad (p. ej. BUQUE, REMOLCADOR).",Variable descriptiva de clasificacion de la unidad.,Se documenta el porcentaje de nulos y valores unicos.,Ninguna / segun depuracion,No se renombra ni se elimina sin registro en bitacora.,0.0,3
ParteTecnica,str,string (categorica/texto),Categoria tecnica del repuesto o servicio.,Nivel de analisis por categoria tecnica; criterios de inclusion/exclusion.,Se documenta el porcentaje de nulos y valores unicos.,Ninguna / segun depuracion,No se renombra ni se elimina sin registro en bitacora.,0.0,10
