FechaCont,ItemCode,Quantity,PrecioUnitario,SubTotal,CostoCalculado,DiferenciaCosto,ErrorAbsolutoCosto,ErrorRelativoCosto,ClasificacionDiferenciaMonetaria
2025-07-01,PS00006,1.0,,745508.82,,,,,No evaluable
2024-08-23,PS00006,1.0,,579869.14,,,,,No evaluable
2023-12-05,PS00006,1.0,274364.2,274364.2,274364.2,0.0,0.0,0.0,Coincidencia exacta
2023-12-01,P008018,1.0,192850.0,214063.5,192850.0,21213.5,21213.5,0.0990990990990991,Diferencia material
2023-12-01,PS00009,1.0,192850.0,208278.0,192850.0,15428.0,15428.0,0.07407407407407407,Diferencia material
2023-02-24,P007099,1.0,199750.0,205742.5,199750.0,5992.5,5992.5,0.02912621359223301,Diferencia menor
2023-04-14,PS00006,1.0,186312.92,186312.92,186312.92,0.0,0.0,0.0,Coincidencia exacta
2024-07-10,PS00006,1.0,,160040.22,,,,,No evaluable
2023-10-02,PS00009,1.0,147500.0,147500.0,147500.0,0.0,0.0,0.0,Coincidencia exacta
2025-07-01,PS00006,1.0,,147014.89,,,,,No evaluable
2024-05-23,PS00006,1.0,,137352.29,,,,,No evaluable
2023-12-08,PS00006,1.0,130476.47,130476.47,130476.47,0.0,0.0,0.0,Coincidencia exacta
2024-05-23,PS00006,1.0,,112384.04,,,,,No evaluable
2023-02-10,P005870,1.0,110827.0,110827.0,110827.0,0.0,0.0,0.0,Coincidencia exacta
2023-08-22,P005870,1.0,110827.0,110827.0,110827.0,0.0,0.0,0.0,Coincidencia exacta
2024-09-03,PS00006,1.0,,109500.0,,,,,No evaluable
2024-09-03,PS00006,1.0,,109500.0,,,,,No evaluable
2024-09-03,PS00006,1.0,,109500.0,,,,,No evaluable
2024-02-21,PS00006,1.0,,108414.99,,,,,No evaluable
2024-05-29,303239,1.0,,106292.58,,,,,No evaluable
2023-06-29,P005737,1.0,102500.0,102500.0,102500.0,0.0,0.0,0.0,Coincidencia exacta
2024-10-22,PS00006,1.0,,96250.0,,,,,No evaluable
2024-07-03,PS00006,1.0,,96250.0,,,,,No evaluable
2023-07-25,P008018,1.0,80000.0,88800.0,80000.0,8800.0,8800.0,0.0990990990990991,Diferencia material
2023-07-25,P008018,1.0,80000.0,88800.0,80000.0,8800.0,8800.0,0.0990990990990991,Diferencia material
2024-05-20,PS00006,1.0,,86059.63,,,,,No evaluable
2023-11-13,P008187,32.0,2452.15,85530.99,78468.8,7062.190000000002,7062.190000000002,0.08256878588684642,Diferencia material
2023-11-13,P008178,4.0,19326.97,84265.59,77307.88,6957.709999999992,6957.709999999992,0.08256881604935054,Diferencia material
2024-09-20,PS00006,1.0,,83495.9,,,,,No evaluable
2025-06-01,PS00006,1.0,,81863.95,,,,,No evaluable
2023-11-13,PS00012,1.0,75060.4,81815.84,75060.4,6755.440000000002,6755.440000000002,0.08256885219292502,Diferencia material
2023-11-13,P008190,32.0,2340.68,81642.92,74901.76,6741.1600000000035,6741.1600000000035,0.08256882531883969,Diferencia material
