FechaCont,ItemCode,Quantity,PrecioUnitarioSinDescuento,DescuentoUnitario,PrecioUnitario,SubTotal,Tipo,ParteTecnica,Tipo_norm,ParteTecnica_norm,ProveedorAnonimo,NaveAnonima,CostoCalculado,DiferenciaCosto,ErrorAbsolutoCosto,ErrorRelativoCosto,ClasificacionDiferenciaMonetaria
2021-01-08,P003936,1.0,333.96,,0.0,333.96,BUQUE,ACEITE,BUQUE,ACEITE,PROV_101,NAVE_002,0.0,333.96,333.96,1.0,Posible error
2021-01-08,P003936,1.0,333.96,,0.0,333.96,BUQUE,ACEITE,BUQUE,ACEITE,PROV_101,NAVE_002,0.0,333.96,333.96,1.0,Posible error
2021-02-01,P003654,1.0,0.0,0.0,25.48,25.48,REMOLCADOR,REPUESTOS MECANICOS,REMOLCADOR,REPUESTOS MECANICOS,PROV_024,NAVE_014,25.48,0.0,0.0,0.0,Coincidencia exacta
2021-02-01,P003654,1.0,0.0,0.0,25.48,25.48,REMOLCADOR,REPUESTOS MECANICOS,REMOLCADOR,REPUESTOS MECANICOS,PROV_024,NAVE_014,25.48,0.0,0.0,0.0,Coincidencia exacta
2021-02-09,P000365,15.0,0.0,0.0,2.0,30.0,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_189,NAVE_011,30.0,0.0,0.0,0.0,Coincidencia exacta
2021-02-09,P000365,15.0,0.0,0.0,2.0,30.0,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_189,NAVE_011,30.0,0.0,0.0,0.0,Coincidencia exacta
2021-03-01,PS00009,1.0,240.0,240.0,240.0,240.0,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_483,NAVE_002,240.0,0.0,0.0,0.0,Coincidencia exacta
2021-03-01,PS00009,1.0,240.0,240.0,240.0,240.0,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_483,NAVE_002,240.0,0.0,0.0,0.0,Coincidencia exacta
2021-03-02,P005193,1.0,0.0,0.0,50.0,50.0,BUQUE,MATERIALES DE LIMPIEZA,BUQUE,MATERIALES DE LIMPIEZA,PROV_396,NAVE_011,50.0,0.0,0.0,0.0,Coincidencia exacta
2021-03-02,P005193,1.0,0.0,0.0,50.0,50.0,BUQUE,MATERIALES DE LIMPIEZA,BUQUE,MATERIALES DE LIMPIEZA,PROV_396,NAVE_011,50.0,0.0,0.0,0.0,Coincidencia exacta
