FechaCont,ItemCode,Quantity,PrecioUnitarioSinDescuento,DescuentoUnitario,PrecioUnitario,SubTotal,Tipo,ParteTecnica,Tipo_norm,ParteTecnica_norm,ProveedorAnonimo,NaveAnonima,CostoCalculado,DiferenciaCosto,ErrorAbsolutoCosto,ErrorRelativoCosto,ClasificacionDiferenciaMonetaria
2021-02-03,PS00006,1.0,808.0,808.0,808.0,808.0,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,PROV_009,NAVE_006,808.0,0.0,0.0,0.0,Coincidencia exacta
2021-02-03,PS00006,1.0,808.0,808.0,808.0,808.0,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,PROV_009,NAVE_006,808.0,0.0,0.0,0.0,Coincidencia exacta
2021-02-04,PS00006,1.0,0.0,0.0,195.0,195.0,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,PROV_497,NAVE_013,195.0,0.0,0.0,0.0,Coincidencia exacta
2021-02-04,PS00006,1.0,0.0,0.0,195.0,195.0,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,PROV_497,NAVE_013,195.0,0.0,0.0,0.0,Coincidencia exacta
2021-03-05,P004549,12.0,0.0,0.0,13.86,166.32,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_198,NAVE_008,166.32,0.0,0.0,0.0,Coincidencia exacta
2021-03-05,P004549,12.0,0.0,0.0,13.86,166.32,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_198,NAVE_008,166.32,0.0,0.0,0.0,Coincidencia exacta
2021-03-08,PS00001,1.0,0.0,0.0,75.0,75.0,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_304,NAVE_001,75.0,0.0,0.0,0.0,Coincidencia exacta
2021-03-08,PS00001,1.0,0.0,0.0,75.0,75.0,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_304,NAVE_001,75.0,0.0,0.0,0.0,Coincidencia exacta
2021-03-08,PS00001,1.0,0.0,0.0,75.0,75.0,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_304,NAVE_002,75.0,0.0,0.0,0.0,Coincidencia exacta
2021-03-08,PS00001,1.0,0.0,0.0,75.0,75.0,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_304,NAVE_002,75.0,0.0,0.0,0.0,Coincidencia exacta
2021-03-11,PS00006,1.0,0.0,0.0,1125.0,1125.0,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,PROV_009,NAVE_009,1125.0,0.0,0.0,0.0,Coincidencia exacta
