FechaCont,ItemCode,Quantity,PrecioUnitarioSinDescuento,DescuentoUnitario,PrecioUnitario,SubTotal,Tipo,ParteTecnica,Tipo_norm,ParteTecnica_norm,ProveedorAnonimo,NaveAnonima
2023-04-27,PS00012,1.0,16700.0,-0.02004,16700.02004,16700.02,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_051,NAVE_011
2023-09-16,PS00012,1.0,13072.22,-107.609992,13179.829992,13179.83,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_068,NAVE_002
2022-10-18,PS00006,1.0,6633.45,-1.999985,6635.449985,6635.449985,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_027,NAVE_007
2022-12-06,P002941,6.0,768.401667,-0.738334,769.140001,4614.84,BUQUE,ACEITE,BUQUE,ACEITE,PROV_079,NAVE_001
2023-03-22,PS00003,1.0,3235.0,-524.999997,3759.999998,3759.999998,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_206,NAVE_002
2023-11-02,PS00006,1.0,3535.0,-209.999997,3744.999998,3745.0,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_206,NAVE_002
2022-06-23,P006915,2.0,97.215,-1337.35,1434.565,3012.59,REMOLCADOR,REPUESTOS MECANICOS,REMOLCADOR,REPUESTOS MECANICOS,PROV_021,NAVE_009
2023-10-05,PS00001,1.0,2201.4,-347.999997,2549.399998,2549.399998,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_165,NAVE_007
2023-10-12,PS00006,1.0,1577.0,-776.340005,2353.340005,2353.34,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,PROV_009,NAVE_006
2023-10-12,PS00006,1.0,1577.0,-776.340005,2353.340005,2353.34,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,PROV_009,NAVE_006
2023-04-17,P000198,8.0,287.4475,-5.22,292.667501,2341.34,REMOLCADOR,REPUESTOS MECANICOS,REMOLCADOR,REPUESTOS MECANICOS,PROV_275,NAVE_006
2022-06-23,P006924,4.0,38.7325,-506.85,545.5825,2291.45,REMOLCADOR,REPUESTOS MECANICOS,REMOLCADOR,REPUESTOS MECANICOS,PROV_021,NAVE_009
2022-06-23,P006927,2.0,912.515,-161.249996,1073.764996,2254.91,REMOLCADOR,REPUESTOS MECANICOS,REMOLCADOR,REPUESTOS MECANICOS,PROV_021,NAVE_009
2023-08-01,P000811,15.0,145.0,-1.16,146.16,2192.4,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_278,NAVE_007
2023-10-03,P008259,256.0,7.97,-0.011249,7.98125,2043.2,REMOLCADOR,QUIMICOS,REMOLCADOR,QUIMICOS,PROV_286,NAVE_004
2023-09-21,P002375,3.0,599.663333,-0.003298,599.666631,1798.999893,BUQUE,ACEITE,BUQUE,ACEITE,PROV_079,NAVE_008
2023-04-12,PS00006,1.0,650.0,-990.08,1640.08,1640.08,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,PROV_141,NAVE_010
2022-06-21,PS00006,1.0,160.0,-1440.0,1600.0,1600.0,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_077,NAVE_008
2023-09-20,P008259,192.0,7.97,-0.011249,7.98125,1532.4,REMOLCADOR,QUIMICOS,REMOLCADOR,QUIMICOS,PROV_286,NAVE_009
2023-07-10,P001238,2.0,634.76,-0.005001,634.765002,1269.530004,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_085,NAVE_001
2023-08-21,P005480,4.0,280.0,-33.6,313.6,1254.4,REMOLCADOR,REPUESTOS MECANICOS,REMOLCADOR,REPUESTOS MECANICOS,PROV_278,NAVE_014
2023-08-07,P002381,2.0,599.08,-1.649998,600.729998,1201.46,BUQUE,ACEITE,BUQUE,ACEITE,PROV_079,NAVE_011
2022-12-01,P005578,4000.0,0.298,-0.002,0.3,1200.000001,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_258,NAVE_001
2023-09-01,P004269,3.0,364.5,-5.333334,369.833335,1109.500005,BUQUE,ACEITE,BUQUE,ACEITE,PROV_079,NAVE_002
2023-09-21,PS00001,1.0,920.7,-160.900003,1081.600004,1081.600004,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_165,NAVE_007
2022-07-08,PS00006,1.0,840.0,-200.000001,1040.000002,1040.000002,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_314,NAVE_001
2023-10-24,P008259,128.0,7.97,-0.011249,7.98125,1021.6,REMOLCADOR,QUIMICOS,REMOLCADOR,QUIMICOS,PROV_286,NAVE_009
2023-11-09,P008259,128.0,7.97,-0.011249,7.98125,1021.6,REMOLCADOR,QUIMICOS,REMOLCADOR,QUIMICOS,PROV_286,NAVE_009
2022-07-01,P000610,110.0,7.327273,-0.47509,7.802364,858.26,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_352,NAVE_002
2023-03-01,P003442,10.0,82.39,-0.2,82.59,825.9,REMOLCADOR,ACEITE,REMOLCADOR,ACEITE,PROV_024,NAVE_013
2023-06-01,P006138,4.0,125.6,-44.8,170.4,681.600001,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_366,NAVE_008
2023-01-06,PS00006,1.0,598.75,-72.209998,670.959998,670.96,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,PROV_291,NAVE_009
2023-05-17,P002442,1.0,650.6,-13.250002,663.850002,663.85,BUQUE,ACEITE,BUQUE,ACEITE,PROV_079,NAVE_002
2023-04-03,P001238,1.0,662.54,-0.029999,662.57,662.57,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_085,NAVE_008
2022-10-26,P001216,10.0,48.02,-0.002999,48.023,480.23,BUQUE,PINTURAS,BUQUE,PINTURAS,PROV_408,NAVE_007
2022-12-01,P000140,8000.0,0.055,-0.005,0.06,480.0,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_258,NAVE_001
2022-12-16,P000193,2.0,111.93,-117.855,229.785,459.57,BUQUE,REPUESTOS MECANICOS,BUQUE,REPUESTOS MECANICOS,PROV_275,NAVE_001
2022-12-16,P000195,2.0,182.815,-46.969999,229.785,459.57,BUQUE,REPUESTOS MECANICOS,BUQUE,REPUESTOS MECANICOS,PROV_275,NAVE_001
2022-05-18,P000341,200.0,1.81375,-0.0774,1.89115,378.23,BUQUE,REPUESTOS MECANICOS,BUQUE,REPUESTOS MECANICOS,PROV_160,NAVE_011
2023-02-17,P002937,24.0,14.15,-1.033333,15.183333,364.4,BUQUE,FILTROS,BUQUE,FILTROS,PROV_079,NAVE_001
2023-11-05,P007245,2.0,147.32,-9.504999,156.824999,313.65,REMOLCADOR,FERRETERIA,REMOLCADOR,FERRETERIA,PROV_278,NAVE_014
2023-10-03,P000715,20.0,0.75,-14.8125,15.5625,311.25,REMOLCADOR,FERRETERIA,REMOLCADOR,FERRETERIA,PROV_198,NAVE_004
2023-02-08,P002380,5.0,59.67,-0.159999,59.83,299.15,REMOLCADOR,ACEITE,REMOLCADOR,ACEITE,PROV_079,NAVE_013
2023-08-10,P005554,60.0,4.5,-0.036,4.536,272.16,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_480,NAVE_007
2023-06-07,P006159,2.0,124.055,-1.25,125.305001,250.61,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_275,NAVE_007
2023-08-10,P001141,60.0,3.8,-0.176,3.976,238.56,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_480,NAVE_007
2022-06-23,P006916,2.0,74.725,-22.489999,97.215,204.15,REMOLCADOR,REPUESTOS MECANICOS,REMOLCADOR,REPUESTOS MECANICOS,PROV_021,NAVE_009
2023-08-10,P001136,80.0,2.4,-0.079999,2.48,198.399999,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_480,NAVE_007
2022-07-05,P005523,14.0,13.02,-0.007142,13.027143,182.380001,BUQUE,REPUESTOS MECANICOS,BUQUE,REPUESTOS MECANICOS,PROV_481,NAVE_001
2022-06-23,P006917,2.0,42.465,-32.26,74.725,156.92,REMOLCADOR,REPUESTOS MECANICOS,REMOLCADOR,REPUESTOS MECANICOS,PROV_021,NAVE_009
2023-12-08,P008554,8.0,18.0,-0.14,18.14,145.12,REMOLCADOR,FERRETERIA,REMOLCADOR,FERRETERIA,PROV_278,NAVE_004
2023-06-20,P001183,120.0,1.0615,-0.101333,1.162833,139.54,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_207,NAVE_008
2023-08-07,P000789,5.0,15.420405,-10.279594,25.7,128.5,BUQUE,ACEITE,BUQUE,ACEITE,PROV_207,NAVE_007
2023-07-14,P000796,30.0,4.132333,-0.000333,4.132667,123.98,REMOLCADOR,FERRETERIA,REMOLCADOR,FERRETERIA,PROV_257,NAVE_013
2023-08-10,P002385,120.0,0.585,-0.351,0.936,112.32,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_480,NAVE_007
2022-11-16,P001505,0.5,110.0,-112.0,222.0,111.0,REMOLCADOR,FERRETERIA,REMOLCADOR,FERRETERIA,PROV_258,NAVE_004
2022-06-23,P006919,4.0,20.8825,-2.5,23.3825,98.21,REMOLCADOR,REPUESTOS MECANICOS,REMOLCADOR,REPUESTOS MECANICOS,PROV_021,NAVE_009
2021-03-02,P003512,1.0,76.73,-16.829999,93.56,93.56,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_064,NAVE_008
2023-05-08,P001728,24.0,0.9875,-2.670833,3.658333,87.8,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_296,NAVE_008
2022-06-23,P006919,2.0,37.465,-4.3,41.765,87.71,REMOLCADOR,REPUESTOS MECANICOS,REMOLCADOR,REPUESTOS MECANICOS,PROV_021,NAVE_009
2023-12-06,P000810,3.0,17.93,-8.966666,26.896667,80.69,REMOLCADOR,QUIMICOS,REMOLCADOR,QUIMICOS,PROV_198,NAVE_004
2023-06-01,P001140,20.0,2.99,-0.3,3.29,65.8,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_352,NAVE_011
2023-06-02,P000289,15.0,3.0,-0.83,3.83,57.45,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_352,NAVE_007
2023-05-19,P002587,6.0,9.14,-0.001666,9.141667,54.85,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_085,NAVE_011
2023-08-07,P002913,6.0,8.26963,-0.000369,8.27,49.62,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_085,NAVE_007
2023-05-08,P005856,2.0,16.04,-4.959999,21.0,42.0,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_366,NAVE_008
2023-05-08,P005857,2.0,16.04,-4.959999,21.0,42.0,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_366,NAVE_008
2023-05-19,P000259,6.0,6.5,-0.003333,6.503333,39.02,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_085,NAVE_011
2023-06-01,P006140,4.0,4.4,-4.4,8.8,35.2,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_366,NAVE_008
2023-10-10,P000921,2.0,16.51,-0.005,16.515,33.03,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_207,NAVE_007
2023-12-01,P008382,14.0,2.0,-0.24,2.24,31.36,REMOLCADOR,FERRETERIA,REMOLCADOR,FERRETERIA,PROV_278,NAVE_004
2023-12-01,P008382,12.0,2.0,-0.24,2.24,26.88,REMOLCADOR,FERRETERIA,REMOLCADOR,FERRETERIA,PROV_278,NAVE_005
2023-06-01,P005943,1.0,18.44,-6.579999,25.02,25.02,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_366,NAVE_008
2023-06-20,P003031,132.0,0.184318,-7.5e-05,0.184394,24.34,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_207,NAVE_008
2023-07-04,P007957,8.0,2.97,-0.00125,2.97125,23.77,REMOLCADOR,FERRETERIA,REMOLCADOR,FERRETERIA,PROV_313,NAVE_009
2023-12-01,P001569,6.0,3.5,-0.42,3.92,23.52,REMOLCADOR,FERRETERIA,REMOLCADOR,FERRETERIA,PROV_278,NAVE_005
2023-06-20,P001139,24.0,0.91875,-0.000416,0.919167,22.06,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_207,NAVE_008
2023-04-03,P005023,20.0,1.0,-0.004,1.004,20.08,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_085,NAVE_008
2023-12-04,P008447,24.0,0.8279,-0.0021,0.83,19.92,REMOLCADOR,FERRETERIA,REMOLCADOR,FERRETERIA,PROV_423,NAVE_004
2023-11-06,P002427,6.0,0.8,-2.1,2.9,17.4,BUQUE,MATERIALES DE LIMPIEZA,BUQUE,MATERIALES DE LIMPIEZA,PROV_509,NAVE_002
2023-10-10,P000022,12.0,0.721667,-0.000833,0.7225,8.67,BUQUE,FERRETERIA,BUQUE,FERRETERIA,PROV_207,NAVE_007
