Hallazgo,NumeroRegistros,PorcentajeRegistros,ImpactoMonetarioUSD,ReglaAplicada,Justificacion,ImpactoPotencialModelado
Fechas invalidas/nulas,0,0.0,0.0,FechaCont no convertible a datetime.,Impide asignar el registro a un mes de la serie temporal.,Excluye el registro de toda serie mensual.
Cantidades negativas,0,0.0,0.0,Quantity < 0.,Puede representar devoluciones o correcciones; se documenta sin eliminar automaticamente.,Afecta CantidadMensual si se conserva; se evalua en anulaciones.
Cantidades iguales a cero,0,0.0,0.0,Quantity == 0.,Transaccion sin cantidad; puede ser un servicio valorado por SubTotal.,No aporta a CantidadMensual pero puede aportar a CostoMensualUSD.
Precios negativos,0,0.0,0.0,PrecioUnitario < 0.,Inusual; se documenta para revision funcional.,Puede distorsionar PrecioUnitarioPonderado en el nivel individual.
Precios iguales a cero,4,0.0185,1516.62,PrecioUnitario == 0.,Compatible con bonificaciones o servicios sin precio unitario explicito.,Reduce la base de precios validos para conversion cantidad->costo en nivel individual.
Descuentos negativos,81,0.374,98081.07,DescuentoUnitario < 0.,Incremento de precio disfrazado de descuento negativo; se documenta.,Bajo impacto esperado en el costo mensual agregado.
Descuentos inconsistentes,13836,63.8781,12703856.54,PrecioUnitarioSinDescuento - DescuentoUnitario != PrecioUnitario (tolerancia 0.05 USD).,Tolerancia de redondeo monetario definida operativamente (ver bitacora_decisiones_metodologicas.md).,"No afecta directamente a SubTotal, que se mantiene como variable monetaria principal."
Subtotales negativos,0,0.0,0.0,SubTotal < 0.,Candidato a anulacion contable o devolucion; se evalua en el analisis de anulaciones.,Puede reducir el costo mensual agregado si se conserva.
Subtotales iguales a cero,0,0.0,0.0,SubTotal == 0.,Transaccion sin efecto monetario; no aporta a CostoMensualUSD.,Neutral para el nivel agregado; se conserva el registro para trazabilidad de movimientos.
"Valores de error de Excel (#N/A, #DIV/0!, etc.)",0,0.0,0.0,Valor de texto iniciado en '#' en columnas monetarias.,Error de calculo heredado del origen; no evaluable como numero.,Se excluye del calculo monetario si se detecta.
Codigos sin descripcion,0,0.0,0.0,ItemDescripcion nula o vacia.,Impide verificar la identidad del repuesto.,El ItemCode correspondiente no es elegible para el nivel individual.
Codigos asociados con descripciones diferentes,3332,15.3832,2299870.83,ItemCode con mas de una ItemDescripcion_norm distinta en todo el periodo.,Posible reutilizacion del codigo para repuestos distintos en años diferentes (limitacion metodologica 3.11).,El ItemCode queda excluido del modelado individual; permanece en el costo agregado.
Naves sin identificar,0,0.0,0.0,Unidad nula o vacia.,Impide asignar la transaccion a una nave para el nivel agregado por nave.,"El registro no aporta a series por nave, si a la serie de toda la flota."
Proveedores sin identificar,0,0.0,0.0,Cardcode nulo o vacio.,Impide contabilizar NumeroProveedores de forma exacta en ese registro.,Reduce levemente la precision del conteo de proveedores por serie mensual.
"Valores extremos (percentil 99 de SubTotal, solo documentacion)",217,1.0018,9607692.67,SubTotal >= percentil 99 (12224.80 USD). No se elimina: se documenta y se usa en analisis de sensibilidad.,La metodologia (apartado 3.6) prohibe eliminar atipicos solo por superar IQR/z-score/percentil.,Se evalua su efecto mediante analisis de sensibilidad (con/sin 1% superior de SubTotal).
