FechaCont,ItemCode,Quantity,PrecioUnitarioSinDescuento,DescuentoUnitario,PrecioUnitario,SubTotal,Tipo,ParteTecnica,Tipo_norm,ParteTecnica_norm,ProveedorAnonimo,NaveAnonima
2025-07-01,PS00006,1.0,,,,745508.82,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_001,NAVE_001
2024-08-23,PS00006,1.0,,,,579869.14,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_002,NAVE_002
2023-12-05,PS00006,1.0,274364.2,274364.2,274364.2,274364.2,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_003,NAVE_001
2023-12-01,P008018,1.0,192850.0,192850.0,192850.0,214063.5,REMOLCADOR,REPUESTOS MECANICOS,REMOLCADOR,REPUESTOS MECANICOS,PROV_004,NAVE_003
2023-12-01,PS00009,1.0,192850.0,192850.0,192850.0,208278.0,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,PROV_005,NAVE_003
2023-02-24,P007099,1.0,199750.0,199750.0,199750.0,205742.5,REMOLCADOR,REPUESTOS MECANICOS,REMOLCADOR,REPUESTOS MECANICOS,PROV_004,NAVE_004
2023-04-14,PS00006,1.0,186312.92,186312.92,186312.92,186312.92,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_003,NAVE_001
2024-07-10,PS00006,1.0,,,,160040.22,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_006,NAVE_002
2023-10-02,PS00009,1.0,147500.0,147500.0,147500.0,147500.0,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,PROV_007,NAVE_003
2025-07-01,PS00006,1.0,,,,147014.89,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_003,NAVE_001
