Mes,NumeroRegistros,CostoTotalUSD,Clasificacion
2021-01,276,160611.58,Observado con movimientos
2021-02,582,142118.3,Observado con movimientos
2021-03,621,261945.63,Observado con movimientos
2021-04,669,348895.72,Observado con movimientos
2021-05,432,243779.76,Observado con movimientos
2021-06,401,288185.53,Observado con movimientos
2021-07,354,247278.26,Observado con movimientos
2021-08,413,354100.11,Observado con movimientos
2021-09,438,302509.09,Observado con movimientos
2021-10,295,213154.08,Observado con movimientos
2021-11,356,280031.99,Observado con movimientos
2021-12,263,162028.63,Observado con movimientos
2022-01,262,308361.53,Observado con movimientos
2022-02,565,270980.34,Observado con movimientos
2022-03,593,192398.02,Observado con movimientos
2022-04,457,286019.94,Observado con movimientos
2022-05,402,282841.49,Observado con movimientos
2022-06,395,239410.13,Observado con movimientos
2022-07,392,490171.35,Observado con movimientos
2022-08,271,167982.94,Observado con movimientos
2022-09,277,220392.78,Observado con movimientos
2022-10,322,243540.27,Observado con movimientos
2022-11,614,454599.84,Observado con movimientos
2022-12,132,190319.25,Observado con movimientos
2023-01,224,171262.77,Observado con movimientos
2023-02,631,615692.07,Observado con movimientos
2023-03,539,296749.19,Observado con movimientos
2023-04,367,481294.99,Observado con movimientos
2023-05,626,481975.98,Observado con movimientos
2023-06,609,541555.57,Observado con movimientos
2023-07,521,683339.47,Observado con movimientos
2023-08,625,498242.09,Observado con movimientos
2023-09,608,625300.56,Observado con movimientos
2023-10,657,481527.11,Observado con movimientos
2023-11,678,1345722.4,Observado con movimientos
2023-12,343,1056943.21,Observado con movimientos
2024-01,39,74552.4,Observado con movimientos
2024-02,104,272694.68,Observado con movimientos
2024-03,194,169818.57,Observado con movimientos
2024-04,314,208613.34,Observado con movimientos
2024-05,122,764398.56,Observado con movimientos
2024-06,141,236291.79,Observado con movimientos
2024-07,268,605807.35,Observado con movimientos
2024-08,174,961201.36,Observado con movimientos
2024-09,250,826640.25,Observado con movimientos
2024-10,188,501062.29,Observado con movimientos
2024-11,104,148015.22,Observado con movimientos
2024-12,87,100922.99,Observado con movimientos
2025-01,106,109852.02,Observado con movimientos
2025-02,192,187175.46,Observado con movimientos
2025-03,129,118000.02,Observado con movimientos
2025-04,182,217864.49,Observado con movimientos
2025-05,333,286400.97,Observado con movimientos
2025-06,677,742625.85,Observado con movimientos
2025-07,420,1417269.75,Observado con movimientos
2025-08,759,611233.28,Observado con movimientos
2025-09,288,151880.03,Observado con movimientos
2025-10,123,17475.3,Observado con movimientos
2025-11,96,35825.9,Observado con movimientos
2025-12,160,50815.73,Observado con movimientos
