FechaCont,ProveedorAnonimo,ItemAnonimo,ItemCode,Quantity,PrecioUnitario,SubTotal,NaveAnonima,Tipo,ParteTecnica,CostoCalculado,ClasificacionDiferenciaMonetaria,EsItemElegibleIndividual
2025-07-01,PROV_001,ITEM_0000,PS00006,1.0,,745508.82,NAVE_001,BUQUE,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2024-08-23,PROV_002,ITEM_0000,PS00006,1.0,,579869.14,NAVE_002,BUQUE,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2023-12-05,PROV_003,ITEM_0000,PS00006,1.0,274364.2,274364.2,NAVE_001,BUQUE,SERVICIOS DE MANTENIMIENTO,274364.2,Coincidencia exacta,True
2023-12-01,PROV_004,ITEM_0001,P008018,1.0,192850.0,214063.5,NAVE_003,REMOLCADOR,REPUESTOS MECANICOS,192850.0,Diferencia material,True
2023-12-01,PROV_005,ITEM_0002,PS00009,1.0,192850.0,208278.0,NAVE_003,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,192850.0,Diferencia material,True
2023-02-24,PROV_004,ITEM_0003,P007099,1.0,199750.0,205742.5,NAVE_004,REMOLCADOR,REPUESTOS MECANICOS,199750.0,Diferencia menor,True
2023-04-14,PROV_003,ITEM_0000,PS00006,1.0,186312.92,186312.92,NAVE_001,BUQUE,SERVICIOS DE MANTENIMIENTO,186312.92,Coincidencia exacta,True
2024-07-10,PROV_006,ITEM_0000,PS00006,1.0,,160040.22,NAVE_002,BUQUE,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2023-10-02,PROV_007,ITEM_0002,PS00009,1.0,147500.0,147500.0,NAVE_003,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,147500.0,Coincidencia exacta,True
2025-07-01,PROV_003,ITEM_0000,PS00006,1.0,,147014.89,NAVE_001,BUQUE,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2024-05-23,PROV_008,ITEM_0000,PS00006,1.0,,137352.29,NAVE_005,REMOLCADORES,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2023-12-08,PROV_009,ITEM_0000,PS00006,1.0,130476.47,130476.47,NAVE_004,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,130476.47,Coincidencia exacta,True
2024-05-23,PROV_008,ITEM_0000,PS00006,1.0,,112384.04,NAVE_006,REMOLCADORES,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2023-02-10,PROV_010,ITEM_0004,P005870,1.0,110827.0,110827.0,NAVE_007,BUQUE,REPUESTOS MECANICOS,110827.0,Coincidencia exacta,True
2023-08-22,PROV_010,ITEM_0004,P005870,1.0,110827.0,110827.0,NAVE_001,BUQUE,REPUESTOS MECANICOS,110827.0,Coincidencia exacta,True
2024-09-03,PROV_011,ITEM_0000,PS00006,1.0,,109500.0,NAVE_002,BUQUE,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2024-02-21,PROV_001,ITEM_0000,PS00006,1.0,,108414.99,NAVE_004,REMOLCADORES,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2024-05-29,PROV_012,ITEM_0005,303239,1.0,,106292.58,NAVE_008,BUQUE,REPUESTOS MECANICOS,,No evaluable,True
2023-06-29,PROV_010,ITEM_0006,P005737,1.0,102500.0,102500.0,NAVE_002,BUQUE,FERRETERIA,102500.0,Coincidencia exacta,False
2024-10-22,PROV_013,ITEM_0000,PS00006,1.0,,96250.0,NAVE_002,BUQUE,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2024-07-03,PROV_013,ITEM_0000,PS00006,1.0,,96250.0,NAVE_002,BUQUE,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2023-07-25,PROV_004,ITEM_0001,P008018,1.0,80000.0,88800.0,NAVE_003,REMOLCADOR,REPUESTOS MECANICOS,80000.0,Diferencia material,True
2024-05-20,PROV_001,ITEM_0000,PS00006,1.0,,86059.63,NAVE_005,REMOLCADORES,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2023-11-13,PROV_004,ITEM_0007,P008187,32.0,2452.15,85530.99,NAVE_005,REMOLCADOR,REPUESTOS MECANICOS,78468.8,Diferencia material,True
2023-11-13,PROV_004,ITEM_0008,P008178,4.0,19326.97,84265.59,NAVE_005,REMOLCADOR,REPUESTOS MECANICOS,77307.88,Diferencia material,True
2024-09-20,PROV_014,ITEM_0000,PS00006,1.0,,83495.9,NAVE_002,BUQUE,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2025-06-01,PROV_001,ITEM_0000,PS00006,1.0,,81863.95,NAVE_009,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2023-11-13,PROV_004,ITEM_0009,PS00012,1.0,75060.4,81815.84,NAVE_005,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,75060.4,Diferencia material,True
2023-11-13,PROV_004,ITEM_0010,P008190,32.0,2340.68,81642.92,NAVE_005,REMOLCADOR,REPUESTOS MECANICOS,74901.76,Diferencia material,True
2023-11-13,PROV_004,ITEM_0009,PS00012,1.0,73795.0,80436.55,NAVE_006,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,73795.0,Diferencia material,True
2022-12-20,PROV_015,ITEM_0011,P005851,1.0,80000.0,80000.0,NAVE_001,BUQUE,REPUESTOS MECANICOS,80000.0,Coincidencia exacta,False
2025-07-01,PROV_003,ITEM_0000,PS00006,1.0,,72125.93,NAVE_001,BUQUE,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2024-10-09,PROV_001,ITEM_0000,PS00006,1.0,,69916.4,NAVE_006,REMOLCADORES,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2024-05-20,PROV_001,ITEM_0000,PS00006,1.0,,68693.88,NAVE_010,REMOLCADORES,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2024-09-03,PROV_016,ITEM_0000,PS00006,1.0,,65197.0,NAVE_002,BUQUE,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2023-11-13,PROV_004,ITEM_0007,P008187,24.0,2418.76,63274.76,NAVE_006,REMOLCADOR,REPUESTOS MECANICOS,58050.240000000005,Diferencia material,True
2021-08-23,PROV_017,ITEM_0012,P004909,4.0,13150.0,62594.0,NAVE_001,BUQUE,REPUESTOS MECANICOS,52600.0,Diferencia material,True
2022-01-14,PROV_009,ITEM_0009,PS00012,1.0,61233.1,61233.1,NAVE_004,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,61233.1,Coincidencia exacta,True
2023-11-13,PROV_004,ITEM_0010,P008190,24.0,2308.8585,60399.73,NAVE_006,REMOLCADOR,REPUESTOS MECANICOS,55412.60399999999,Diferencia material,True
2024-10-04,PROV_002,ITEM_0000,PS00006,1.0,,59753.18,NAVE_002,BUQUE,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2022-07-22,PROV_009,ITEM_0009,PS00012,1.0,57320.64,57320.64,NAVE_009,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,57320.64,Coincidencia exacta,True
2023-11-13,PROV_004,ITEM_0000,PS00006,1.0,52000.0,56680.0,NAVE_005,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,52000.0,Diferencia material,True
2022-07-22,PROV_009,ITEM_0009,PS00012,1.0,53207.43,53207.43,NAVE_009,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,53207.43,Coincidencia exacta,True
2024-08-12,PROV_018,ITEM_0000,PS00006,1.0,,52990.7,NAVE_002,BUQUE,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2021-08-23,PROV_017,ITEM_0012,P004909,4.0,13150.0,52600.0,NAVE_001,BUQUE,REPUESTOS MECANICOS,52600.0,Coincidencia exacta,True
2023-11-16,PROV_010,ITEM_0013,P006617,1.0,49040.0,49040.0,NAVE_002,BUQUE,REPUESTOS MECANICOS,49040.0,Coincidencia exacta,True
2023-11-24,PROV_010,ITEM_0014,P005757,1.0,49040.0,49040.0,NAVE_002,BUQUE,REPUESTOS MECANICOS,49040.0,Coincidencia exacta,False
2023-09-26,PROV_004,ITEM_0015,P007848,2.0,22082.14,48580.71,NAVE_004,REMOLCADOR,REPUESTOS MECANICOS,44164.28,Diferencia material,True
2022-07-22,PROV_009,ITEM_0000,PS00006,1.0,44813.0,44813.0,NAVE_009,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,44813.0,Coincidencia exacta,True
2022-07-22,PROV_009,ITEM_0000,PS00006,1.0,44813.0,44813.0,NAVE_009,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,44813.0,Coincidencia exacta,True
2023-07-06,PROV_004,ITEM_0016,P007262,2.0,20473.0,42993.3,NAVE_010,REMOLCADOR,FERRETERIA,40946.0,Diferencia menor,True
2023-07-02,PROV_019,ITEM_0017,P007958,1.0,42250.00008,42250.0,NAVE_005,REMOLCADOR,FERRETERIA,42250.00008,Coincidencia exacta,True
2024-10-21,PROV_020,ITEM_0000,PS00006,1.0,,39615.0,NAVE_002,BUQUE,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2022-06-20,PROV_021,ITEM_0000,PS00006,1.0,35550.0,39105.0,NAVE_009,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,35550.0,Diferencia material,True
2023-11-13,PROV_004,ITEM_0018,P008224,4.0,8934.64,38955.03,NAVE_006,REMOLCADOR,REPUESTOS MECANICOS,35738.56,Diferencia material,True
2022-10-06,PROV_022,ITEM_0019,P005587,1.0,38750.0,38750.0,NAVE_002,BUQUE,REPUESTOS MECANICOS,38750.0,Coincidencia exacta,False
2022-12-19,PROV_004,ITEM_0020,P004408,1.0,37560.0,38686.8,NAVE_005,REMOLCADOR,REPUESTOS MECANICOS,37560.0,Diferencia menor,True
2021-10-22,PROV_023,ITEM_0000,PS00006,1.0,38507.13,38507.13,NAVE_002,BUQUE,SERVICIOS DE MANTENIMIENTO,38507.13,Coincidencia exacta,True
2023-09-01,PROV_024,ITEM_0021,P007865,1.0,35500.0,35500.0,NAVE_005,REMOLCADOR,REPUESTOS MECANICOS,35500.0,Coincidencia exacta,True
2021-09-13,PROV_017,ITEM_0022,P005266,1.0,34700.0,34700.0,NAVE_007,BUQUE,REPUESTOS MECANICOS,34700.0,Coincidencia exacta,True
2024-07-08,PROV_012,ITEM_0023,302578,10.0,,32770.15,NAVE_002,BUQUE,FERRETERIA,,No evaluable,True
2023-11-13,PROV_004,ITEM_0000,PS00006,1.0,30000.0,32700.0,NAVE_006,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,30000.0,Diferencia material,True
2021-01-19,PROV_021,ITEM_0000,PS00006,1.0,26300.0,32349.0,NAVE_004,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,26300.0,Diferencia material,True
2021-08-06,PROV_025,ITEM_0024,P005220,10.0,263.03,31266.3761,NAVE_001,BUQUE,REPUESTOS MECANICOS,2630.2999999999997,Posible error,False
2025-03-01,PROV_026,ITEM_0000,PS00006,1.0,,31250.0,NAVE_001,BUQUE,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2025-06-01,PROV_019,ITEM_0000,PS00006,1.0,,30899.78,NAVE_001,BUQUE,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2023-09-20,PROV_027,ITEM_0000,PS00006,1.0,30052.87,30052.87,NAVE_007,BUQUE,SERVICIOS DE MANTENIMIENTO,30052.87,Coincidencia exacta,True
2023-02-10,PROV_010,ITEM_0000,PS00006,1.0,29000.0,29000.0,NAVE_007,BUQUE,SERVICIOS DE MANTENIMIENTO,29000.0,Coincidencia exacta,True
2023-06-29,PROV_010,ITEM_0000,PS00006,1.0,29000.0,29000.0,NAVE_002,BUQUE,SERVICIOS DE MANTENIMIENTO,29000.0,Coincidencia exacta,True
2023-08-22,PROV_010,ITEM_0000,PS00006,1.0,29000.0,29000.0,NAVE_001,BUQUE,SERVICIOS DE MANTENIMIENTO,29000.0,Coincidencia exacta,True
2025-07-01,PROV_028,ITEM_0000,PS00006,1.0,,28908.0,NAVE_008,BUQUE,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2022-04-21,PROV_029,ITEM_0002,PS00009,1.0,28664.0,28664.0,NAVE_007,BUQUE,SERVICIOS DE MANTENIMIENTO,28664.0,Coincidencia exacta,True
2023-09-22,PROV_030,ITEM_0000,PS00006,1.0,28500.0,28500.0,NAVE_002,BUQUE,SERVICIOS DE MANTENIMIENTO,28500.0,Coincidencia exacta,True
2024-09-03,PROV_031,ITEM_0000,PS00006,1.0,,28000.0,NAVE_008,BUQUE,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2023-12-08,PROV_009,ITEM_0000,PS00006,1.0,27725.45,27725.45,NAVE_004,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,27725.45,Coincidencia exacta,True
2024-12-10,PROV_013,ITEM_0000,PS00006,1.0,,27158.86,NAVE_002,BUQUE,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2025-02-01,PROV_019,ITEM_0000,PS00006,1.0,,26586.4,NAVE_002,BUQUE,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2024-05-15,PROV_032,ITEM_0000,PS00006,1.0,,26400.0,NAVE_005,REMOLCADORES,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2023-08-01,PROV_029,ITEM_0002,PS00009,1.0,25833.2,25833.2,NAVE_007,BUQUE,SERVICIOS DE MANTENIMIENTO,25833.2,Coincidencia exacta,True
2022-07-22,PROV_009,ITEM_0000,PS00006,1.0,25685.39,25685.39,NAVE_009,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,25685.39,Coincidencia exacta,True
2023-11-13,PROV_004,ITEM_0025,P007912,32.0,719.81,25106.97,NAVE_005,REMOLCADOR,ACEITE,23033.92,Diferencia material,True
2025-06-01,PROV_033,ITEM_0000,PS00006,1.0,,25000.0,NAVE_001,BUQUE,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2021-03-17,PROV_029,ITEM_0002,PS00009,1.0,24995.0,24995.0,NAVE_002,BUQUE,SERVICIOS DE MANTENIMIENTO,24995.0,Coincidencia exacta,True
2023-03-15,PROV_034,ITEM_0026,P007293,12.0,2041.91,24502.92,NAVE_010,REMOLCADOR,FERRETERIA,24502.920000000002,Coincidencia exacta,True
2023-05-09,PROV_034,ITEM_0026,P007293,12.0,2041.91,24502.92,NAVE_010,REMOLCADOR,FERRETERIA,24502.920000000002,Coincidencia exacta,True
2021-12-22,PROV_022,ITEM_0027,P005327,90.0,271.9,24471.0,NAVE_001,BUQUE,FERRETERIA,24470.999999999996,Coincidencia exacta,True
2023-11-13,PROV_004,ITEM_0028,P008188,32.0,700.32,24427.16,NAVE_005,REMOLCADOR,REPUESTOS MECANICOS,22410.24,Diferencia material,True
2023-10-23,PROV_023,ITEM_0000,PS00006,1.0,24000.0,24000.0,NAVE_007,BUQUE,SERVICIOS DE MANTENIMIENTO,24000.0,Coincidencia exacta,True
2024-03-14,PROV_001,ITEM_0000,PS00006,1.0,,23981.53,NAVE_004,REMOLCADORES,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2022-01-17,PROV_035,ITEM_0000,PS00006,1.0,23111.6,23111.6,NAVE_001,BUQUE,SERVICIOS DE MANTENIMIENTO,23111.6,Coincidencia exacta,True
2024-10-29,PROV_012,ITEM_0029,302817,4.0,,22058.54,NAVE_007,BUQUE,REPUESTOS MECANICOS,,No evaluable,True
2021-04-28,PROV_022,ITEM_0030,P005147,1.0,21861.88,21861.88,NAVE_008,BUQUE,REPUESTOS MECANICOS,21861.88,Coincidencia exacta,True
2021-09-09,PROV_022,ITEM_0031,P004907,3.0,7270.5833,21811.7499,NAVE_008,BUQUE,REPUESTOS MECANICOS,21811.749900000003,Coincidencia exacta,False
2023-11-13,PROV_004,ITEM_0032,P008228,24.0,827.18,21639.03,NAVE_006,REMOLCADOR,REPUESTOS MECANICOS,19852.32,Diferencia material,True
2022-07-22,PROV_009,ITEM_0000,PS00006,1.0,21572.18,21572.18,NAVE_009,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,21572.18,Coincidencia exacta,True
2024-05-31,PROV_036,ITEM_0000,PS00006,1.0,,21500.0,NAVE_010,REMOLCADORES,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2023-10-25,PROV_037,ITEM_0000,PS00006,1.0,21400.0,21400.0,NAVE_002,BUQUE,SERVICIOS DE MANTENIMIENTO,21400.0,Coincidencia exacta,True
2021-01-27,PROV_022,ITEM_0033,P004603,1.0,20905.8,20905.8,NAVE_002,BUQUE,REPUESTOS MECANICOS,20905.8,Coincidencia exacta,True
2024-05-14,PROV_002,ITEM_0000,PS00006,1.0,,20672.0,NAVE_011,BUQUE,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2023-12-08,PROV_009,ITEM_0000,PS00006,1.0,20273.67,20273.67,NAVE_004,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,20273.67,Coincidencia exacta,True
2025-06-01,PROV_012,ITEM_0034,306132,2.0,,19962.0,NAVE_001,BUQUE,REPUESTOS ELECTRICOS,,No evaluable,True
2022-07-22,PROV_009,ITEM_0009,PS00012,1.0,19803.75,19803.75,NAVE_009,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,19803.75,Coincidencia exacta,True
2023-12-08,PROV_009,ITEM_0000,PS00006,1.0,19629.7,19629.7,NAVE_004,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,19629.7,Coincidencia exacta,True
2025-08-01,PROV_012,ITEM_0035,306725,1.0,,19587.15,NAVE_001,BUQUE,REPUESTOS MECANICOS,,No evaluable,True
2025-08-01,PROV_012,ITEM_0035,306725,1.0,,19587.14,NAVE_001,BUQUE,REPUESTOS MECANICOS,,No evaluable,True
2024-06-27,PROV_040,ITEM_0000,PS00006,1.0,,19500.0,NAVE_011,BUQUE,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2024-03-21,PROV_006,ITEM_0000,PS00006,1.0,,19500.0,NAVE_005,REMOLCADORES,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2023-05-08,PROV_041,ITEM_0036,P005950,1.0,19460.82,19460.82,NAVE_007,BUQUE,REPUESTOS MECANICOS,19460.82,Coincidencia exacta,False
2023-07-18,PROV_030,ITEM_0000,PS00006,1.0,19000.0,19000.0,NAVE_001,BUQUE,SERVICIOS DE MANTENIMIENTO,19000.0,Coincidencia exacta,True
2024-06-18,PROV_042,ITEM_0000,PS00006,1.0,,18800.0,NAVE_006,REMOLCADORES,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2023-07-06,PROV_004,ITEM_0037,P007269,12.0,1487.0,18736.2,NAVE_010,REMOLCADOR,FERRETERIA,17844.0,Diferencia menor,True
2024-02-19,PROV_043,ITEM_0000,PS00006,1.0,,18730.0,NAVE_004,REMOLCADORES,SERVICIOS DE MANTENIMIENTO,,No evaluable,True
2021-07-14,PROV_023,ITEM_0000,PS00006,1.0,18722.0,18722.0,NAVE_011,BUQUE,SERVICIOS DE MANTENIMIENTO,18722.0,Coincidencia exacta,True
2023-11-13,PROV_004,ITEM_0025,P007912,24.0,711.01,18600.02,NAVE_006,REMOLCADOR,ACEITE,17064.239999999998,Diferencia material,True
2023-05-22,PROV_044,ITEM_0038,P005871,7.0,2650.0,18550.0,NAVE_008,BUQUE,FERRETERIA,18550.0,Coincidencia exacta,True
