Mes,Nivel,Serie,CostoMensualUSD,CantidadMensual,NumeroMovimientos,NumeroItemsDistintos,NumeroProveedores,CostoPromedioMovimiento,CostoMedianoMovimiento,CostoMaximoMovimiento
2021-01,CATEGORIA,ACEITE,14827.929999999998,58.0,14.0,10.0,4.0,1059.137857142857,455.265,4675.44
2021-02,CATEGORIA,ACEITE,8151.4,59.0,8.0,8.0,3.0,1018.925,693.7149999999999,2925.0
2021-03,CATEGORIA,ACEITE,4256.349999999999,54.0,8.0,8.0,5.0,532.0437499999999,173.945,2367.6
2021-04,CATEGORIA,ACEITE,12829.45,80.0,10.0,8.0,4.0,1282.9450000000002,687.4000000000001,4680.0
2021-05,CATEGORIA,ACEITE,2982.4,10.0,5.0,4.0,2.0,596.48,722.55,913.41
2021-06,CATEGORIA,ACEITE,4446.2999930000005,50.0,5.0,5.0,3.0,889.2599986000001,511.453333,2330.8
2021-07,CATEGORIA,ACEITE,20745.638599999995,77.0,10.0,8.0,4.0,2074.5638599999993,1155.3557,8486.918
2021-08,CATEGORIA,ACEITE,5564.889999999999,34.0,8.0,8.0,3.0,695.6112499999999,400.855,2504.7
2021-09,CATEGORIA,ACEITE,13566.38,54.0,10.0,6.0,3.0,1356.638,578.5350000000001,5417.2
2021-10,CATEGORIA,ACEITE,2811.12,28.0,5.0,5.0,2.0,562.2239999999999,588.77,1060.86
2021-11,CATEGORIA,ACEITE,10147.965,19.0,8.0,6.0,3.0,1268.495625,903.385,3713.01
2021-12,CATEGORIA,ACEITE,12718.108960000001,83.0,12.0,10.0,5.0,1059.8424133333335,777.4322,3877.68
2022-01,CATEGORIA,ACEITE,4803.29,32.0,3.0,3.0,2.0,1601.0966666666666,1316.5,3369.45
2022-02,CATEGORIA,ACEITE,38364.028999999995,162.0,32.0,17.0,5.0,1198.8759062499998,571.163,5138.6
2022-03,CATEGORIA,ACEITE,1882.0,10.0,4.0,3.0,3.0,470.5,411.45,944.2
2022-04,CATEGORIA,ACEITE,11337.249999999998,44.0,13.0,9.0,3.0,872.0961538461537,598.53,2832.6
2022-05,CATEGORIA,ACEITE,6893.42,74.0,8.0,7.0,2.0,861.6775,595.235,2652.15
2022-06,CATEGORIA,ACEITE,4475.07,15.0,6.0,6.0,3.0,745.8449999999999,395.53499999999997,2448.92
2022-07,CATEGORIA,ACEITE,9465.910002,35.0,7.0,7.0,2.0,1352.2728574285716,1284.19,4610.410002
2022-08,CATEGORIA,ACEITE,22910.96,79.0,12.0,8.0,3.0,1909.2466666666667,1314.29,4803.28
2022-09,CATEGORIA,ACEITE,5462.63,9.0,5.0,3.0,1.0,1092.526,1197.06,1795.59
2022-10,CATEGORIA,ACEITE,14776.273000000001,42.0,7.0,7.0,3.0,2110.896142857143,680.0,10376.8
2022-11,CATEGORIA,ACEITE,12272.749971000001,90.0,8.0,5.0,3.0,1534.0937463750001,929.6699980000001,5480.699977
2022-12,CATEGORIA,ACEITE,8783.74,50.0,9.0,8.0,2.0,975.9711111111111,412.2,4614.84
2023-01,CATEGORIA,ACEITE,4531.429999999999,9.0,4.0,4.0,1.0,1132.8574999999998,949.915,2441.6
2023-02,CATEGORIA,ACEITE,20693.959984,107.0,15.0,13.0,3.0,1379.5973322666666,357.780001,6135.519985
2023-03,CATEGORIA,ACEITE,12937.370000000003,72.0,17.0,14.0,4.0,761.0217647058826,476.1,4272.8
2023-04,CATEGORIA,ACEITE,4606.66,16.0,8.0,8.0,2.0,575.8325,560.0,1197.06
2023-05,CATEGORIA,ACEITE,12698.849999999999,21.0,6.0,6.0,2.0,2116.475,1763.17,3662.4
2023-06,CATEGORIA,ACEITE,4653.43,77.0,9.0,7.0,1.0,517.0477777777778,299.15,2059.5
2023-07,CATEGORIA,ACEITE,16991.28,43.0,8.0,7.0,4.0,2123.91,754.9,9457.44
2023-08,CATEGORIA,ACEITE,13615.658000000001,66.0,19.0,18.0,4.0,716.6135789473685,596.3,3076.46
2023-09,CATEGORIA,ACEITE,41057.679898,217.0,27.0,20.0,5.0,1520.654811037037,1180.0,7324.8
2023-10,CATEGORIA,ACEITE,5499.19,65.0,7.0,4.0,3.0,785.5985714285714,662.6,2200.0
2023-11,CATEGORIA,ACEITE,45471.19,83.0,5.0,4.0,3.0,9094.238000000001,1020.0,25106.97
2024-01,CATEGORIA,ACEITE,816.0,120.0,1.0,1.0,1.0,816.0,816.0,816.0
2024-03,CATEGORIA,ACEITE,1984.3899999999999,310.0,4.0,3.0,1.0,496.09749999999997,511.45,662.34
2024-04,CATEGORIA,ACEITE,26196.84,500.0,6.0,4.0,2.0,4366.14,3256.5,8686.59
2024-05,CATEGORIA,ACEITE,170.0,2.0,2.0,1.0,1.0,85.0,85.0,136.0
2024-07,CATEGORIA,ACEITE,2504.04,16.0,4.0,4.0,1.0,626.01,624.435,1199.17
2024-08,CATEGORIA,ACEITE,9201.03,100.0,4.0,2.0,2.0,2300.2575,2262.1400000000003,3389.42
2024-09,CATEGORIA,ACEITE,5341.77,14.0,4.0,2.0,1.0,1335.4425,955.6600000000001,2835.97
2024-10,CATEGORIA,ACEITE,11386.44,27.0,7.0,5.0,1.0,1626.6342857142859,1196.44,5947.36
2024-11,CATEGORIA,ACEITE,706.65,3.0,2.0,2.0,1.0,353.325,353.325,650.65
2024-12,CATEGORIA,ACEITE,7883.08,10.0,6.0,3.0,1.0,1313.8466666666666,1197.725,2989.27
2025-01,CATEGORIA,ACEITE,11525.17,30.0,11.0,5.0,1.0,1047.7427272727273,1187.49,2384.7
2025-02,CATEGORIA,ACEITE,9056.939999999999,25.0,8.0,4.0,1.0,1132.1174999999998,652.68,4144.23
2025-03,CATEGORIA,ACEITE,7791.929999999999,33.0,9.0,6.0,1.0,865.77,678.58,1814.36
2025-04,CATEGORIA,ACEITE,13402.890000000001,33.0,7.0,5.0,1.0,1914.6985714285715,1225.21,6126.03
2025-05,CATEGORIA,ACEITE,14048.630000000001,128.0,17.0,13.0,1.0,826.3900000000001,617.73,2892.13
2025-06,CATEGORIA,ACEITE,14619.099999999999,198.0,14.0,9.0,3.0,1044.2214285714285,618.3199999999999,6189.05
2025-07,CATEGORIA,ACEITE,15043.349999999999,41.0,9.0,6.0,2.0,1671.4833333333331,1197.06,4958.42
2025-08,CATEGORIA,ACEITE,15642.96,51.0,15.0,12.0,1.0,1042.864,619.8,5377.14
2025-09,CATEGORIA,ACEITE,10808.71,74.0,10.0,6.0,1.0,1080.8709999999999,906.365,3496.55
2025-10,CATEGORIA,ACEITE,349.41999999999996,15.0,2.0,2.0,1.0,174.70999999999998,174.70999999999998,188.85
2025-11,CATEGORIA,ACEITE,947.09,25.0,2.0,2.0,1.0,473.545,473.545,723.09
2025-12,CATEGORIA,ACEITE,503.6,2.0,1.0,1.0,1.0,503.6,503.6,503.6
2021-01,CATEGORIA,FERRETERIA,9322.455893999999,940.0,124.0,87.0,16.0,75.18109591935483,22.34,669.6429
