Mes,ItemAnonimo,ItemCode,CantidadMensual,CostoMensualUSD,PrecioUnitarioPonderado,NumeroMovimientos,NumeroNaves,IndicadorDemandaPositiva
2021-01,ITEM_0000,PS00006,27.0,53211.21,1746.7485185185185,27,10,1
2021-02,ITEM_0000,PS00006,56.0,49084.630000000005,876.5112500000001,56,11,1
2021-03,ITEM_0000,PS00006,52.0,77243.46,1481.8165384615386,52,9,1
2021-04,ITEM_0000,PS00006,87.0,146698.33000000002,1669.2624302068966,87,8,1
2021-05,ITEM_0000,PS00006,35.0,73395.75,2097.0214285714287,35,7,1
2021-06,ITEM_0000,PS00006,58.0,113005.59999999999,1948.3724137931033,58,7,1
2021-07,ITEM_0000,PS00006,72.0,97373.93,1352.4156944444444,72,9,1
2021-08,ITEM_0000,PS00006,67.0,61023.05,910.7917910447761,67,9,1
2021-09,ITEM_0000,PS00006,44.0,61252.59,1392.1043181818181,44,12,1
2021-10,ITEM_0000,PS00006,40.0,91032.11,2275.80275,40,10,1
2021-11,ITEM_0000,PS00006,57.0,132344.5,2304.938596491228,57,10,1
2021-12,ITEM_0000,PS00006,48.0,80727.87,1681.8306249999998,47,8,1
2022-01,ITEM_0000,PS00006,54.0,115955.34,2147.321111111111,47,8,1
2022-02,ITEM_0000,PS00006,41.0,74049.34,1806.081463414634,41,12,1
2022-03,ITEM_0000,PS00006,46.0,59670.60600000001,1297.1870869565219,46,11,1
2022-04,ITEM_0000,PS00006,47.0,94165.45,2003.5202127659575,47,11,1
2022-05,ITEM_0000,PS00006,60.0,173485.59,2875.9014925,58,8,1
2022-06,ITEM_0000,PS00006,43.0,92259.84,2062.9032558139534,43,9,1
2022-07,ITEM_0000,PS00006,46.0,210082.950007,4567.020652326087,45,9,1
2022-08,ITEM_0000,PS00006,38.0,101417.5348,2668.882494736842,38,9,1
2022-09,ITEM_0000,PS00006,37.0,64081.169995,1731.9235133783782,37,11,1
2022-10,ITEM_0000,PS00006,41.0,77489.259985,1889.9819508536584,41,9,1
2022-11,ITEM_0000,PS00006,48.0,123727.94,2577.6654165208333,48,9,1
2022-12,ITEM_0000,PS00006,33.0,35085.600000000006,1063.2000000000003,33,10,1
2023-01,ITEM_0000,PS00006,37.0,46257.84,1250.2118918378378,37,12,1
2023-02,ITEM_0000,PS00006,63.0,151041.36,2397.4819047619044,63,11,1
2023-03,ITEM_0000,PS00006,37.0,78169.76000000001,2112.696216162162,37,10,1
2023-04,ITEM_0000,PS00006,45.0,266883.92999999993,5930.753999999999,45,11,1
2023-05,ITEM_0000,PS00006,57.0,145387.75,2550.6622807017543,57,10,1
2023-06,ITEM_0000,PS00006,98.0,209548.348,2138.248449142857,98,11,1
2023-07,ITEM_0000,PS00006,54.0,141028.793329,2611.644320685186,54,11,1
2023-08,ITEM_0000,PS00006,89.0,194583.49,2186.3313483146067,88,13,1
2023-09,ITEM_0000,PS00006,92.0,227121.75999999998,2446.7256521739127,92,12,1
2023-10,ITEM_0000,PS00006,52.0,106144.56,2041.2415385576924,52,10,1
2023-11,ITEM_0000,PS00006,93.0,247848.40750000003,2585.6818010537636,93,12,1
2023-12,ITEM_0000,PS00006,84.0,556307.869988,6613.188898666666,84,11,1
2024-01,ITEM_0000,PS00006,67.0,61212.92,,36,10,1
2024-02,ITEM_0000,PS00006,69.0,254612.76,,64,13,1
2024-03,ITEM_0000,PS00006,70.0,136198.41999999998,,70,12,1
2024-04,ITEM_0000,PS00006,84.0,139221.93,,84,12,1
2024-05,ITEM_0000,PS00006,63.0,604845.55,,63,11,1
2024-06,ITEM_0000,PS00006,91.0,183896.96,,91,12,1
2024-07,ITEM_0000,PS00006,110.0,476340.49000000005,,110,12,1
2024-08,ITEM_0000,PS00006,128.0,899268.9500000001,,128,12,1
2024-09,ITEM_0000,PS00006,85.0,496643.42000000004,,85,10,1
2024-10,ITEM_0000,PS00006,90.0,433771.32,,90,12,1
2024-11,ITEM_0000,PS00006,62.0,100004.63,,62,13,1
2024-12,ITEM_0000,PS00006,55.0,89820.87000000001,,55,12,1
2025-01,ITEM_0000,PS00006,52.0,80211.52,,52,13,1
2025-02,ITEM_0000,PS00006,104.0,145541.03,,104,11,1
2025-03,ITEM_0000,PS00006,44.0,76026.03,,44,14,1
2025-04,ITEM_0000,PS00006,71.0,162312.21999999997,,71,11,1
2025-05,ITEM_0000,PS00006,86.0,169524.53,,86,14,1
2025-06,ITEM_0000,PS00006,210.0,549427.05,,210,14,1
2025-07,ITEM_0000,PS00006,135.0,1225365.2299999997,,135,12,1
2025-08,ITEM_0000,PS00006,183.0,265330.14,,183,12,1
2025-09,ITEM_0000,PS00006,83.0,75700.56,,83,13,1
2025-10,ITEM_0000,PS00006,13.0,9818.030000000002,,13,6,1
2025-11,ITEM_0000,PS00006,21.0,10549.35,,21,6,1
2025-12,ITEM_0000,PS00006,35.0,17143.989999999998,,35,6,1
2023-07,ITEM_0001,P008018,1.0,88800.0,80000.0,1,1,1
2023-09,ITEM_0001,P008018,1.0,11100.0,10000.0,1,1,1
2023-12,ITEM_0001,P008018,1.0,214063.5,192850.0,1,1,1
2021-01,ITEM_0002,PS00009,13.0,3445.63,265.04846153846154,13,4,1
2021-02,ITEM_0002,PS00009,9.0,1117.91,124.21222222222224,9,5,1
2021-03,ITEM_0002,PS00009,17.0,34164.520000000004,2009.6776470588238,17,2,1
2021-04,ITEM_0002,PS00009,14.0,4577.24,326.94571428571425,14,2,1
2021-05,ITEM_0002,PS00009,16.0,6443.650000000001,402.72812500000003,16,3,1
2021-06,ITEM_0002,PS00009,13.0,3655.6,281.2,13,4,1
2021-07,ITEM_0002,PS00009,18.0,4007.7900000000004,222.65500000000003,18,5,1
2021-08,ITEM_0002,PS00009,6.0,899.11,149.85166666666666,6,3,1
2021-09,ITEM_0002,PS00009,22.0,6765.06,307.50272727272727,22,5,1
2021-10,ITEM_0002,PS00009,9.0,2070.49,230.0544444444444,9,5,1
2021-11,ITEM_0002,PS00009,12.0,3271.1799999999994,272.5983333333333,12,4,1
2021-12,ITEM_0002,PS00009,14.0,4735.64,338.26000000000005,14,4,1
2022-01,ITEM_0002,PS00009,21.0,12055.479999999998,574.070476190476,21,4,1
2022-02,ITEM_0002,PS00009,25.0,10057.96,402.31839999999994,25,4,1
2022-03,ITEM_0002,PS00009,11.0,6441.04,585.5490909090909,11,3,1
2022-04,ITEM_0002,PS00009,22.0,43652.82,1984.219090909091,22,4,1
2022-05,ITEM_0002,PS00009,9.0,1429.72,158.85777777777778,9,5,1
2022-06,ITEM_0002,PS00009,20.0,4835.115,241.75574999999998,20,7,1
2022-07,ITEM_0002,PS00009,24.0,4940.6900000000005,205.86208333333335,24,6,1
2022-08,ITEM_0002,PS00009,17.0,4823.58,283.74,17,4,1
2022-09,ITEM_0002,PS00009,7.0,534.6,76.37142857142858,7,2,1
2022-10,ITEM_0002,PS00009,13.0,4879.610000000001,375.35461538461544,13,6,1
2022-11,ITEM_0002,PS00009,57.0,39458.1,692.2473684210526,57,5,1
2022-12,ITEM_0002,PS00009,15.0,4087.72,272.51466666666664,14,3,1
2023-01,ITEM_0002,PS00009,10.0,1756.89,175.68900000000002,10,4,1
2023-02,ITEM_0002,PS00009,17.0,4071.3700000000003,239.49235294117648,17,4,1
2023-03,ITEM_0002,PS00009,25.0,7093.719999999999,283.74879999999996,25,4,1
2023-04,ITEM_0002,PS00009,18.0,4705.76,261.43111111111114,18,5,1
2023-05,ITEM_0002,PS00009,33.0,21666.01,656.5457575757575,33,5,1
2023-06,ITEM_0002,PS00009,11.0,845.19,76.83545454545455,11,6,1
2023-07,ITEM_0002,PS00009,34.0,21924.58,644.8405882352941,34,6,1
2023-08,ITEM_0002,PS00009,31.0,37428.59999999999,1207.3741935483868,31,4,1
2023-09,ITEM_0002,PS00009,37.0,14663.759999999998,396.31783783783777,37,7,1
2023-10,ITEM_0002,PS00009,18.0,152401.34999999998,8466.741666666665,18,5,1
2023-11,ITEM_0002,PS00009,17.0,28002.850000000002,1647.2264705882353,17,7,1
2023-12,ITEM_0002,PS00009,10.0,210654.11,19522.610999999997,10,4,1
2023-02,ITEM_0003,P007099,1.0,205742.5,199750.0,1,1,1
2023-02,ITEM_0004,P005870,1.0,110827.0,110827.0,1,1,1
2023-08,ITEM_0004,P005870,1.0,110827.0,110827.0,1,1,1
2024-05,ITEM_0005,303239,1.0,106292.58,,1,1,1
2023-11,ITEM_0007,P008187,56.0,148805.75,2437.84,2,2,1
2023-11,ITEM_0008,P008178,4.0,84265.59,19326.97,1,1,1
2021-02,ITEM_0009,PS00012,2.0,5612.0,2806.0,2,2,1
2021-03,ITEM_0009,PS00012,5.0,9685.5,1937.1,5,2,1
2021-04,ITEM_0009,PS00012,12.0,16420.690000000002,1368.3908333333336,12,5,1
2021-05,ITEM_0009,PS00012,1.0,300.0,300.0,1,1,1
2021-06,ITEM_0009,PS00012,4.0,3181.86,795.465,4,3,1
2021-07,ITEM_0009,PS00012,1.0,563.0,563.0,1,1,1
2021-08,ITEM_0009,PS00012,3.0,9690.0,3230.0,3,2,1
2021-09,ITEM_0009,PS00012,4.0,4352.64,1088.16,4,2,1
2021-10,ITEM_0009,PS00012,4.0,24702.480000000003,6175.620000000001,4,3,1
2021-12,ITEM_0009,PS00012,1.0,790.0,790.0,1,1,1
2022-01,ITEM_0009,PS00012,2.0,66567.06999999999,33283.534999999996,2,2,1
2022-02,ITEM_0009,PS00012,4.0,1853.73,463.4325,4,2,1
2022-03,ITEM_0009,PS00012,3.0,1734.88,578.2933333333334,3,2,1
2022-04,ITEM_0009,PS00012,3.0,1909.59,636.53,3,1,1
2022-07,ITEM_0009,PS00012,7.0,146066.88999999998,20866.69857142857,7,3,1
2022-08,ITEM_0009,PS00012,2.0,3585.0,1792.5,2,1,1
2022-09,ITEM_0009,PS00012,2.0,1560.0,780.0,2,2,1
2022-10,ITEM_0009,PS00012,4.0,1840.0,460.0,4,2,1
2022-11,ITEM_0009,PS00012,3.0,10623.689999999999,3541.2299999999996,3,2,1
2022-12,ITEM_0009,PS00012,8.0,3834.23,479.27875,3,2,1
2023-01,ITEM_0009,PS00012,8.0,5527.4,690.925,8,4,1
2023-02,ITEM_0009,PS00012,4.0,9391.47,2347.8675,4,3,1
2023-03,ITEM_0009,PS00012,3.0,18190.9,6063.633333333334,3,3,1
2023-04,ITEM_0009,PS00012,2.0,16761.39,8380.69502,2,2,1
2023-05,ITEM_0009,PS00012,3.0,1279.58,426.52666666666664,3,2,1
2023-06,ITEM_0009,PS00012,3.0,17310.78,5770.259999999999,3,3,1
2023-08,ITEM_0009,PS00012,2.0,3087.0,1543.5,2,1,1
2023-09,ITEM_0009,PS00012,2.0,25440.32,12720.159996,2,1,1
2023-11,ITEM_0009,PS00012,2.0,162252.39,74427.7,2,2,1
2023-12,ITEM_0009,PS00012,1.0,219.0,219.0,1,1,1
2023-11,ITEM_0010,P008190,56.0,142042.65,2327.042214285714,2,2,1
2021-08,ITEM_0012,P004909,9.0,128344.0,13150.0,3,1,1
2023-11,ITEM_0013,P006617,1.0,49040.0,49040.0,1,1,1
2023-09,ITEM_0015,P007848,2.0,48580.71,22082.14,1,1,1
2023-07,ITEM_0016,P007262,2.0,42993.3,20473.0,1,1,1
2023-07,ITEM_0017,P007958,1.0,42250.0,42250.00008,1,1,1
2023-11,ITEM_0018,P008224,4.0,38955.03,8934.64,1,1,1
2022-12,ITEM_0020,P004408,1.0,38686.8,37560.0,1,1,1
2023-09,ITEM_0021,P007865,1.0,35500.0,35500.0,1,1,1
2021-06,ITEM_0022,P005266,2.0,29.66,14.83,1,1,1
2021-07,ITEM_0022,P005266,2.0,29.66,14.83,1,1,1
2021-09,ITEM_0022,P005266,1.0,34700.0,34700.0,1,1,1
2022-07,ITEM_0022,P005266,2.0,36.14,18.07,1,1,1
2023-03,ITEM_0022,P005266,2.0,36.86,18.43,1,1,1
2023-12,ITEM_0022,P005266,3.0,55.29,18.43,1,1,1
2024-07,ITEM_0023,302578,10.0,32770.15,,1,1,1
2025-07,ITEM_0023,302578,12.0,324.53,,1,1,1
2023-05,ITEM_0025,P007912,4.0,2225.04,556.26,1,1,1
2023-11,ITEM_0025,P007912,56.0,43706.990000000005,716.0385714285713,2,2,1
2023-03,ITEM_0026,P007293,12.0,24502.92,2041.91,1,1,1
2023-05,ITEM_0026,P007293,12.0,24502.92,2041.91,1,1,1
2021-04,ITEM_0027,P005327,50.0,245.07,4.9014,2,2,1
2021-12,ITEM_0027,P005327,90.0,24471.0,271.9,1,1,1
2023-05,ITEM_0027,P005327,12.0,105.0,8.75,1,1,1
2023-11,ITEM_0028,P008188,32.0,24427.16,700.32,1,1,1
2024-10,ITEM_0029,302817,4.0,22058.54,,1,1,1
2021-04,ITEM_0030,P005147,1.0,21861.88,21861.88,1,1,1
2023-11,ITEM_0032,P008228,24.0,21639.03,827.18,1,1,1
2021-01,ITEM_0033,P004603,1.0,20905.8,20905.8,1,1,1
2025-06,ITEM_0034,306132,2.0,19962.0,,1,1,1
2025-08,ITEM_0035,306725,2.0,39174.29,,2,1,1
