Nivel,Serie,NumeroMesesObservados,NumeroMesesConCostoPositivo,Elegible,MotivoNoElegibilidad
CATEGORIA,ACEITE,57,57,True,
CATEGORIA,FERRETERIA,59,59,True,
CATEGORIA,FILTROS,47,47,True,
CATEGORIA,GRASAS,4,4,False,No alcanza el minimo de meses observados/con costo positivo para conformar entrenamiento-validacion y prueba (umbral operativo: 18 y 6 meses).
CATEGORIA,QUIMICOS,50,50,True,
CATEGORIA,REPUESTOS ELECTRICOS,22,22,False,No alcanza el minimo de meses observados/con costo positivo para conformar entrenamiento-validacion y prueba (umbral operativo: 18 y 6 meses).
CATEGORIA,REPUESTOS MECANICOS,57,57,True,
CATEGORIA,SERVICIOS DE MANTENIMIENTO,60,60,True,
FLOTA,FLOTA_TOTAL,60,60,True,
NAVE,NAVE_001,56,56,True,
NAVE,NAVE_002,56,56,True,
NAVE,NAVE_003,22,22,False,No alcanza el minimo de meses observados/con costo positivo para conformar entrenamiento-validacion y prueba (umbral operativo: 18 y 6 meses).
NAVE,NAVE_004,60,60,True,
NAVE,NAVE_005,60,60,True,
NAVE,NAVE_006,58,58,True,
NAVE,NAVE_007,50,50,True,
NAVE,NAVE_008,57,57,True,
NAVE,NAVE_009,58,58,True,
NAVE,NAVE_010,58,58,True,
NAVE,NAVE_011,57,57,True,
NAVE,NAVE_012,7,7,False,No alcanza el minimo de meses observados/con costo positivo para conformar entrenamiento-validacion y prueba (umbral operativo: 18 y 6 meses).
NAVE,NAVE_013,59,59,True,
NAVE,NAVE_014,56,56,True,
NAVE_CATEGORIA,NAVE_001 | ACEITE,26,26,True,
NAVE_CATEGORIA,NAVE_001 | FERRETERIA,41,41,True,
NAVE_CATEGORIA,NAVE_001 | FILTROS,8,8,False,No alcanza el minimo de meses observados/con costo positivo para conformar entrenamiento-validacion y prueba (umbral operativo: 18 y 6 meses).
NAVE_CATEGORIA,NAVE_001 | QUIMICOS,20,20,False,No alcanza el minimo de meses observados/con costo positivo para conformar entrenamiento-validacion y prueba (umbral operativo: 18 y 6 meses).
NAVE_CATEGORIA,NAVE_001 | REPUESTOS ELECTRICOS,5,5,False,No alcanza el minimo de meses observados/con costo positivo para conformar entrenamiento-validacion y prueba (umbral operativo: 18 y 6 meses).
NAVE_CATEGORIA,NAVE_001 | REPUESTOS MECANICOS,33,33,True,
NAVE_CATEGORIA,NAVE_001 | SERVICIOS DE MANTENIMIENTO,55,55,True,
NAVE_CATEGORIA,NAVE_002 | ACEITE,18,18,False,No alcanza el minimo de meses observados/con costo positivo para conformar entrenamiento-validacion y prueba (umbral operativo: 18 y 6 meses).
