Mes,Nivel,Serie,CostoMensualUSD,CantidadMensual,NumeroMovimientos,NumeroItemsDistintos,NumeroProveedores,CostoPromedioMovimiento,CostoMedianoMovimiento,CostoMaximoMovimiento,MesNumerico,Trimestre,Anio,IndiceTemporal,Lag1,Lag2,Lag3,Lag12,MediaMovil3,MediaMovil6
2021-01,CATEGORIA,ACEITE,14827.929999999998,58.0,14.0,10.0,4.0,1059.137857142857,455.265,4675.44,1,1,2021,0,,,,,,
2021-02,CATEGORIA,ACEITE,8151.4,59.0,8.0,8.0,3.0,1018.925,693.7149999999999,2925.0,2,1,2021,1,14827.929999999998,,,,,
2021-03,CATEGORIA,ACEITE,4256.349999999999,54.0,8.0,8.0,5.0,532.0437499999999,173.945,2367.6,3,1,2021,2,8151.4,14827.929999999998,,,,
2021-04,CATEGORIA,ACEITE,12829.45,80.0,10.0,8.0,4.0,1282.9450000000002,687.4000000000001,4680.0,4,2,2021,3,4256.349999999999,8151.4,14827.929999999998,,9078.56,
2021-05,CATEGORIA,ACEITE,2982.4,10.0,5.0,4.0,2.0,596.48,722.55,913.41,5,2,2021,4,12829.45,4256.349999999999,8151.4,,8412.4,
2021-06,CATEGORIA,ACEITE,4446.2999930000005,50.0,5.0,5.0,3.0,889.2599986000001,511.453333,2330.8,6,2,2021,5,2982.4,12829.45,4256.349999999999,,6689.399999999999,
2021-07,CATEGORIA,ACEITE,20745.638599999995,77.0,10.0,8.0,4.0,2074.5638599999993,1155.3557,8486.918,7,3,2021,6,4446.2999930000005,2982.4,12829.45,,6752.716664333333,7915.638332166666
2021-08,CATEGORIA,ACEITE,5564.889999999999,34.0,8.0,8.0,3.0,695.6112499999999,400.855,2504.7,8,3,2021,7,20745.638599999995,4446.2999930000005,2982.4,,9391.446197666664,8901.923098833331
2021-09,CATEGORIA,ACEITE,13566.38,54.0,10.0,6.0,3.0,1356.638,578.5350000000001,5417.2,9,3,2021,8,5564.889999999999,20745.638599999995,4446.2999930000005,,10252.276197666664,8470.838098833332
2021-10,CATEGORIA,ACEITE,2811.12,28.0,5.0,5.0,2.0,562.2239999999999,588.77,1060.86,10,4,2021,9,13566.38,5564.889999999999,20745.638599999995,,13292.302866666663,10022.509765499997
2021-11,CATEGORIA,ACEITE,10147.965,19.0,8.0,6.0,3.0,1268.495625,903.385,3713.01,11,4,2021,10,2811.12,13566.38,5564.889999999999,,7314.13,8352.788098833333
2021-12,CATEGORIA,ACEITE,12718.108960000001,83.0,12.0,10.0,5.0,1059.8424133333335,777.4322,3877.68,12,4,2021,11,10147.965,2811.12,13566.38,,8841.821666666667,9547.048932166666
2022-01,CATEGORIA,ACEITE,4803.29,32.0,3.0,3.0,2.0,1601.0966666666666,1316.5,3369.45,1,1,2022,12,12718.108960000001,10147.965,2811.12,14827.929999999998,8559.064653333335,10925.68376
2022-02,CATEGORIA,ACEITE,38364.028999999995,162.0,32.0,17.0,5.0,1198.8759062499998,571.163,5138.6,2,1,2022,13,4803.29,12718.108960000001,10147.965,8151.4,9223.12132,8268.62566
2022-03,CATEGORIA,ACEITE,1882.0,10.0,4.0,3.0,3.0,470.5,411.45,944.2,3,1,2022,14,38364.028999999995,4803.29,12718.108960000001,4256.349999999999,18628.475986666668,13735.148826666666
2022-04,CATEGORIA,ACEITE,11337.249999999998,44.0,13.0,9.0,3.0,872.0961538461537,598.53,2832.6,4,2,2022,15,1882.0,38364.028999999995,4803.29,12829.45,15016.439666666667,11787.752159999998
2022-05,CATEGORIA,ACEITE,6893.42,74.0,8.0,7.0,2.0,861.6775,595.235,2652.15,5,2,2022,16,11337.249999999998,1882.0,38364.028999999995,2982.4,17194.426333333333,13208.773826666666
2022-06,CATEGORIA,ACEITE,4475.07,15.0,6.0,6.0,3.0,745.8449999999999,395.53499999999997,2448.92,6,2,2022,17,6893.42,11337.249999999998,1882.0,4446.2999930000005,6704.223333333335,12666.34966
2022-07,CATEGORIA,ACEITE,9465.910002,35.0,7.0,7.0,2.0,1352.2728574285716,1284.19,4610.410002,7,3,2022,18,4475.07,6893.42,11337.249999999998,20745.638599999995,7568.580000000002,11292.509833333332
2022-08,CATEGORIA,ACEITE,22910.96,79.0,12.0,8.0,3.0,1909.2466666666667,1314.29,4803.28,8,3,2022,19,9465.910002,4475.07,6893.42,5564.889999999999,6944.80000066667,12069.613166999998
2022-09,CATEGORIA,ACEITE,5462.63,9.0,5.0,3.0,1.0,1092.526,1197.06,1795.59,9,3,2022,20,22910.96,9465.910002,4475.07,13566.38,12283.98000066667,9494.101667
2022-10,CATEGORIA,ACEITE,14776.273000000001,42.0,7.0,7.0,3.0,2110.896142857143,680.0,10376.8,10,4,2022,21,5462.63,22910.96,9465.910002,2811.12,12613.166667333337,10090.873333666666
