Nivel,Serie,TotalMeses,ObservacionesSinLag12,ObservacionesSinMediaMovil6
CATEGORIA,ACEITE,57,12,6
CATEGORIA,FERRETERIA,59,12,6
CATEGORIA,FILTROS,47,12,6
CATEGORIA,QUIMICOS,50,12,6
CATEGORIA,REPUESTOS MECANICOS,57,12,6
CATEGORIA,SERVICIOS DE MANTENIMIENTO,60,12,6
FLOTA,FLOTA_TOTAL,60,12,6
NAVE,NAVE_001,56,12,6
NAVE,NAVE_002,56,12,6
NAVE,NAVE_004,60,12,6
NAVE,NAVE_005,60,12,6
NAVE,NAVE_006,58,12,6
NAVE,NAVE_007,50,12,6
NAVE,NAVE_008,57,12,6
NAVE,NAVE_009,58,12,6
NAVE,NAVE_010,58,12,6
NAVE,NAVE_011,57,12,6
NAVE,NAVE_013,59,12,6
NAVE,NAVE_014,56,12,6
NAVE_CATEGORIA,NAVE_001 | ACEITE,26,12,6
NAVE_CATEGORIA,NAVE_001 | FERRETERIA,41,12,6
NAVE_CATEGORIA,NAVE_001 | REPUESTOS MECANICOS,33,12,6
NAVE_CATEGORIA,NAVE_001 | SERVICIOS DE MANTENIMIENTO,55,12,6
NAVE_CATEGORIA,NAVE_002 | FERRETERIA,46,12,6
NAVE_CATEGORIA,NAVE_002 | QUIMICOS,24,12,6
NAVE_CATEGORIA,NAVE_002 | REPUESTOS MECANICOS,37,12,6
NAVE_CATEGORIA,NAVE_002 | SERVICIOS DE MANTENIMIENTO,56,12,6
NAVE_CATEGORIA,NAVE_004 | ACEITE,28,12,6
NAVE_CATEGORIA,NAVE_004 | FERRETERIA,38,12,6
NAVE_CATEGORIA,NAVE_004 | REPUESTOS MECANICOS,34,12,6
NAVE_CATEGORIA,NAVE_004 | SERVICIOS DE MANTENIMIENTO,60,12,6
NAVE_CATEGORIA,NAVE_005 | FERRETERIA,37,12,6
NAVE_CATEGORIA,NAVE_005 | REPUESTOS MECANICOS,32,12,6
NAVE_CATEGORIA,NAVE_005 | SERVICIOS DE MANTENIMIENTO,53,12,6
NAVE_CATEGORIA,NAVE_006 | FERRETERIA,39,12,6
NAVE_CATEGORIA,NAVE_006 | REPUESTOS MECANICOS,27,12,6
NAVE_CATEGORIA,NAVE_006 | SERVICIOS DE MANTENIMIENTO,50,12,6
NAVE_CATEGORIA,NAVE_007 | FERRETERIA,33,12,6
NAVE_CATEGORIA,NAVE_007 | REPUESTOS MECANICOS,30,12,6
NAVE_CATEGORIA,NAVE_007 | SERVICIOS DE MANTENIMIENTO,50,12,6
NAVE_CATEGORIA,NAVE_008 | ACEITE,35,12,6
NAVE_CATEGORIA,NAVE_008 | FERRETERIA,41,12,6
NAVE_CATEGORIA,NAVE_008 | REPUESTOS MECANICOS,30,12,6
NAVE_CATEGORIA,NAVE_008 | SERVICIOS DE MANTENIMIENTO,56,12,6
NAVE_CATEGORIA,NAVE_009 | FERRETERIA,39,12,6
NAVE_CATEGORIA,NAVE_009 | REPUESTOS MECANICOS,29,12,6
NAVE_CATEGORIA,NAVE_009 | SERVICIOS DE MANTENIMIENTO,57,12,6
NAVE_CATEGORIA,NAVE_010 | FERRETERIA,33,12,6
NAVE_CATEGORIA,NAVE_010 | REPUESTOS MECANICOS,28,12,6
NAVE_CATEGORIA,NAVE_010 | SERVICIOS DE MANTENIMIENTO,53,12,6
NAVE_CATEGORIA,NAVE_011 | ACEITE,24,12,6
NAVE_CATEGORIA,NAVE_011 | FERRETERIA,37,12,6
NAVE_CATEGORIA,NAVE_011 | QUIMICOS,28,12,6
NAVE_CATEGORIA,NAVE_011 | REPUESTOS MECANICOS,38,12,6
NAVE_CATEGORIA,NAVE_011 | SERVICIOS DE MANTENIMIENTO,56,12,6
NAVE_CATEGORIA,NAVE_013 | FERRETERIA,31,12,6
NAVE_CATEGORIA,NAVE_013 | REPUESTOS MECANICOS,24,12,6
NAVE_CATEGORIA,NAVE_013 | SERVICIOS DE MANTENIMIENTO,51,12,6
NAVE_CATEGORIA,NAVE_014 | FERRETERIA,28,12,6
NAVE_CATEGORIA,NAVE_014 | REPUESTOS MECANICOS,29,12,6
NAVE_CATEGORIA,NAVE_014 | SERVICIOS DE MANTENIMIENTO,51,12,6
