Nivel,Serie,RandomForest,GradientBoosting,grid_evaluado_RandomForest,grid_evaluado_GradientBoosting,semilla,tiempo_entrenamiento_validacion_seg,numero_observaciones_entrenamiento_inicial,caracteristicas_utilizadas
CATEGORIA,ACEITE,"{""n_estimators"": 200, ""max_depth"": null}","{""n_estimators"": 150, ""learning_rate"": 0.1, ""max_depth"": 3}","[{""n_estimators"": 100, ""max_depth"": 5}, {""n_estimators"": 200, ""max_depth"": null}, {""n_estimators"": 300, ""max_depth"": 8}]","[{""n_estimators"": 100, ""learning_rate"": 0.1, ""max_depth"": 2}, {""n_estimators"": 200, ""learning_rate"": 0.05, ""max_depth"": 3}, {""n_estimators"": 150, ""learning_rate"": 0.1, ""max_depth"": 3}]",42,9.352,23,"[""MesNumerico"", ""Trimestre"", ""IndiceTemporal"", ""Lag1"", ""Lag2"", ""Lag3"", ""MediaMovil3"", ""MediaMovil6"", ""Lag12""]"
CATEGORIA,SERVICIOS DE MANTENIMIENTO,"{""n_estimators"": 300, ""max_depth"": 8}","{""n_estimators"": 100, ""learning_rate"": 0.1, ""max_depth"": 2}","[{""n_estimators"": 100, ""max_depth"": 5}, {""n_estimators"": 200, ""max_depth"": null}, {""n_estimators"": 300, ""max_depth"": 8}]","[{""n_estimators"": 100, ""learning_rate"": 0.1, ""max_depth"": 2}, {""n_estimators"": 200, ""learning_rate"": 0.05, ""max_depth"": 3}, {""n_estimators"": 150, ""learning_rate"": 0.1, ""max_depth"": 3}]",42,10.217,24,"[""MesNumerico"", ""Trimestre"", ""IndiceTemporal"", ""Lag1"", ""Lag2"", ""Lag3"", ""MediaMovil3"", ""MediaMovil6"", ""Lag12""]"
FLOTA,FLOTA_TOTAL,"{""n_estimators"": 200, ""max_depth"": null}","{""n_estimators"": 150, ""learning_rate"": 0.1, ""max_depth"": 3}","[{""n_estimators"": 100, ""max_depth"": 5}, {""n_estimators"": 200, ""max_depth"": null}, {""n_estimators"": 300, ""max_depth"": 8}]","[{""n_estimators"": 100, ""learning_rate"": 0.1, ""max_depth"": 2}, {""n_estimators"": 200, ""learning_rate"": 0.05, ""max_depth"": 3}, {""n_estimators"": 150, ""learning_rate"": 0.1, ""max_depth"": 3}]",42,10.756,24,"[""MesNumerico"", ""Trimestre"", ""IndiceTemporal"", ""Lag1"", ""Lag2"", ""Lag3"", ""MediaMovil3"", ""MediaMovil6"", ""Lag12""]"
NAVE,NAVE_001,"{""n_estimators"": 100, ""max_depth"": 5}","{""n_estimators"": 100, ""learning_rate"": 0.1, ""max_depth"": 2}","[{""n_estimators"": 100, ""max_depth"": 5}, {""n_estimators"": 200, ""max_depth"": null}, {""n_estimators"": 300, ""max_depth"": 8}]","[{""n_estimators"": 100, ""learning_rate"": 0.1, ""max_depth"": 2}, {""n_estimators"": 200, ""learning_rate"": 0.05, ""max_depth"": 3}, {""n_estimators"": 150, ""learning_rate"": 0.1, ""max_depth"": 3}]",42,19.326,24,"[""MesNumerico"", ""Trimestre"", ""IndiceTemporal"", ""Lag1"", ""Lag2"", ""Lag3"", ""MediaMovil3"", ""MediaMovil6"", ""Lag12""]"
NAVE,NAVE_002,"{""n_estimators"": 100, ""max_depth"": 5}","{""n_estimators"": 200, ""learning_rate"": 0.05, ""max_depth"": 3}","[{""n_estimators"": 100, ""max_depth"": 5}, {""n_estimators"": 200, ""max_depth"": null}, {""n_estimators"": 300, ""max_depth"": 8}]","[{""n_estimators"": 100, ""learning_rate"": 0.1, ""max_depth"": 2}, {""n_estimators"": 200, ""learning_rate"": 0.05, ""max_depth"": 3}, {""n_estimators"": 150, ""learning_rate"": 0.1, ""max_depth"": 3}]",42,19.192,24,"[""MesNumerico"", ""Trimestre"", ""IndiceTemporal"", ""Lag1"", ""Lag2"", ""Lag3"", ""MediaMovil3"", ""MediaMovil6"", ""Lag12""]"
NAVE,NAVE_004,"{""n_estimators"": 100, ""max_depth"": 5}","{""n_estimators"": 150, ""learning_rate"": 0.1, ""max_depth"": 3}","[{""n_estimators"": 100, ""max_depth"": 5}, {""n_estimators"": 200, ""max_depth"": null}, {""n_estimators"": 300, ""max_depth"": 8}]","[{""n_estimators"": 100, ""learning_rate"": 0.1, ""max_depth"": 2}, {""n_estimators"": 200, ""learning_rate"": 0.05, ""max_depth"": 3}, {""n_estimators"": 150, ""learning_rate"": 0.1, ""max_depth"": 3}]",42,10.124,24,"[""MesNumerico"", ""Trimestre"", ""IndiceTemporal"", ""Lag1"", ""Lag2"", ""Lag3"", ""MediaMovil3"", ""MediaMovil6"", ""Lag12""]"
NAVE,NAVE_005,"{""n_estimators"": 100, ""max_depth"": 5}","{""n_estimators"": 100, ""learning_rate"": 0.1, ""max_depth"": 2}","[{""n_estimators"": 100, ""max_depth"": 5}, {""n_estimators"": 200, ""max_depth"": null}, {""n_estimators"": 300, ""max_depth"": 8}]","[{""n_estimators"": 100, ""learning_rate"": 0.1, ""max_depth"": 2}, {""n_estimators"": 200, ""learning_rate"": 0.05, ""max_depth"": 3}, {""n_estimators"": 150, ""learning_rate"": 0.1, ""max_depth"": 3}]",42,19.909,24,"[""MesNumerico"", ""Trimestre"", ""IndiceTemporal"", ""Lag1"", ""Lag2"", ""Lag3"", ""MediaMovil3"", ""MediaMovil6"", ""Lag12""]"
NAVE,NAVE_007,"{""n_estimators"": 300, ""max_depth"": 8}","{""n_estimators"": 100, ""learning_rate"": 0.1, ""max_depth"": 2}","[{""n_estimators"": 100, ""max_depth"": 5}, {""n_estimators"": 200, ""max_depth"": null}, {""n_estimators"": 300, ""max_depth"": 8}]","[{""n_estimators"": 100, ""learning_rate"": 0.1, ""max_depth"": 2}, {""n_estimators"": 200, ""learning_rate"": 0.05, ""max_depth"": 3}, {""n_estimators"": 150, ""learning_rate"": 0.1, ""max_depth"": 3}]",42,9.195,17,"[""MesNumerico"", ""Trimestre"", ""IndiceTemporal"", ""Lag1"", ""Lag2"", ""Lag3"", ""MediaMovil3"", ""MediaMovil6"", ""Lag12""]"
NAVE,NAVE_008,"{""n_estimators"": 100, ""max_depth"": 5}","{""n_estimators"": 100, ""learning_rate"": 0.1, ""max_depth"": 2}","[{""n_estimators"": 100, ""max_depth"": 5}, {""n_estimators"": 200, ""max_depth"": null}, {""n_estimators"": 300, ""max_depth"": 8}]","[{""n_estimators"": 100, ""learning_rate"": 0.1, ""max_depth"": 2}, {""n_estimators"": 200, ""learning_rate"": 0.05, ""max_depth"": 3}, {""n_estimators"": 150, ""learning_rate"": 0.1, ""max_depth"": 3}]",42,10.437,24,"[""MesNumerico"", ""Trimestre"", ""IndiceTemporal"", ""Lag1"", ""Lag2"", ""Lag3"", ""MediaMovil3"", ""MediaMovil6"", ""Lag12""]"
NAVE,NAVE_010,"{""n_estimators"": 200, ""max_depth"": null}","{""n_estimators"": 100, ""learning_rate"": 0.1, ""max_depth"": 2}","[{""n_estimators"": 100, ""max_depth"": 5}, {""n_estimators"": 200, ""max_depth"": null}, {""n_estimators"": 300, ""max_depth"": 8}]","[{""n_estimators"": 100, ""learning_rate"": 0.1, ""max_depth"": 2}, {""n_estimators"": 200, ""learning_rate"": 0.05, ""max_depth"": 3}, {""n_estimators"": 150, ""learning_rate"": 0.1, ""max_depth"": 3}]",42,9.086,23,"[""MesNumerico"", ""Trimestre"", ""IndiceTemporal"", ""Lag1"", ""Lag2"", ""Lag3"", ""MediaMovil3"", ""MediaMovil6"", ""Lag12""]"
NAVE,NAVE_011,"{""n_estimators"": 300, ""max_depth"": 8}","{""n_estimators"": 150, ""learning_rate"": 0.1, ""max_depth"": 3}","[{""n_estimators"": 100, ""max_depth"": 5}, {""n_estimators"": 200, ""max_depth"": null}, {""n_estimators"": 300, ""max_depth"": 8}]","[{""n_estimators"": 100, ""learning_rate"": 0.1, ""max_depth"": 2}, {""n_estimators"": 200, ""learning_rate"": 0.05, ""max_depth"": 3}, {""n_estimators"": 150, ""learning_rate"": 0.1, ""max_depth"": 3}]",42,10.449,24,"[""MesNumerico"", ""Trimestre"", ""IndiceTemporal"", ""Lag1"", ""Lag2"", ""Lag3"", ""MediaMovil3"", ""MediaMovil6"", ""Lag12""]"
NAVE,NAVE_013,"{""n_estimators"": 100, ""max_depth"": 5}","{""n_estimators"": 200, ""learning_rate"": 0.05, ""max_depth"": 3}","[{""n_estimators"": 100, ""max_depth"": 5}, {""n_estimators"": 200, ""max_depth"": null}, {""n_estimators"": 300, ""max_depth"": 8}]","[{""n_estimators"": 100, ""learning_rate"": 0.1, ""max_depth"": 2}, {""n_estimators"": 200, ""learning_rate"": 0.05, ""max_depth"": 3}, {""n_estimators"": 150, ""learning_rate"": 0.1, ""max_depth"": 3}]",42,30.881,24,"[""MesNumerico"", ""Trimestre"", ""IndiceTemporal"", ""Lag1"", ""Lag2"", ""Lag3"", ""MediaMovil3"", ""MediaMovil6"", ""Lag12""]"
