ItemAnonimo,Modelo,ReglaPrecio,ErrorMonetarioMAE_USD
ITEM_0000,Croston,ultimo_precio_conocido,561947.8773
ITEM_0000,Croston,promedio_historico,303449.6921
ITEM_0000,Croston,promedio_movil_historico,379547.6078
ITEM_0000,SBA,ultimo_precio_conocido,540907.3431
ITEM_0000,SBA,promedio_historico,299756.2362
ITEM_0000,SBA,promedio_movil_historico,367627.0871
ITEM_0000,Bootstrap,ultimo_precio_conocido,451947.7288
ITEM_0000,Bootstrap,promedio_historico,287205.795
ITEM_0000,Bootstrap,promedio_movil_historico,325191.0797
ITEM_0002,Croston,ultimo_precio_conocido,407598.6598
ITEM_0002,Croston,promedio_historico,25728.1087
ITEM_0002,Croston,promedio_movil_historico,206253.6604
ITEM_0002,SBA,ultimo_precio_conocido,387218.7268
ITEM_0002,SBA,promedio_historico,24441.7033
ITEM_0002,SBA,promedio_movil_historico,195940.9774
ITEM_0002,Bootstrap,ultimo_precio_conocido,250073.5415
ITEM_0002,Bootstrap,promedio_historico,15784.9372
ITEM_0002,Bootstrap,promedio_movil_historico,126542.5734
ITEM_0009,Croston,ultimo_precio_conocido,514.5621
ITEM_0009,Croston,promedio_historico,15235.228
ITEM_0009,Croston,promedio_movil_historico,68425.6829
ITEM_0009,SBA,ultimo_precio_conocido,488.834
ITEM_0009,SBA,promedio_historico,14473.4666
ITEM_0009,SBA,promedio_movil_historico,65004.3988
ITEM_0009,Bootstrap,ultimo_precio_conocido,344.401
ITEM_0009,Bootstrap,promedio_historico,10197.075
ITEM_0009,Bootstrap,promedio_movil_historico,45797.9244
ITEM_0049,Croston,ultimo_precio_conocido,12377.2888
ITEM_0049,Croston,promedio_historico,6300.9062
ITEM_0049,Croston,promedio_movil_historico,8824.6354
ITEM_0049,SBA,ultimo_precio_conocido,11758.4243
ITEM_0049,SBA,promedio_historico,5985.8609
ITEM_0049,SBA,promedio_movil_historico,8383.4037
ITEM_0049,Bootstrap,ultimo_precio_conocido,6926.637
ITEM_0049,Bootstrap,promedio_historico,3526.143
ITEM_0049,Bootstrap,promedio_movil_historico,4938.4843
ITEM_0124,Croston,ultimo_precio_conocido,1464.3761
ITEM_0124,Croston,promedio_historico,6843.5499
ITEM_0124,Croston,promedio_movil_historico,7085.1163
ITEM_0124,SBA,ultimo_precio_conocido,1391.1573
ITEM_0124,SBA,promedio_historico,6501.3724
ITEM_0124,SBA,promedio_movil_historico,6730.8605
ITEM_0124,Bootstrap,ultimo_precio_conocido,906.7446
ITEM_0124,Bootstrap,promedio_historico,4237.5396
ITEM_0124,Bootstrap,promedio_movil_historico,4387.118
ITEM_0181,Croston,ultimo_precio_conocido,194.5394
ITEM_0181,Croston,promedio_historico,230.6376
ITEM_0181,Croston,promedio_movil_historico,230.4734
ITEM_0181,SBA,ultimo_precio_conocido,185.8329
ITEM_0181,SBA,promedio_historico,214.9377
ITEM_0181,SBA,promedio_movil_historico,214.7818
ITEM_0181,Bootstrap,ultimo_precio_conocido,202.3326
ITEM_0181,Bootstrap,promedio_historico,251.9574
ITEM_0181,Bootstrap,promedio_movil_historico,251.7821
ITEM_0645,Croston,ultimo_precio_conocido,75.8032
ITEM_0645,Croston,promedio_historico,89.2129
ITEM_0645,Croston,promedio_movil_historico,62.8876
ITEM_0645,SBA,ultimo_precio_conocido,72.013
ITEM_0645,SBA,promedio_historico,84.7522
ITEM_0645,SBA,promedio_movil_historico,59.7433
ITEM_0645,Bootstrap,ultimo_precio_conocido,73.4129
ITEM_0645,Bootstrap,promedio_historico,86.3997
ITEM_0645,Bootstrap,promedio_movil_historico,60.9046
ITEM_0648,Croston,ultimo_precio_conocido,258.1416
ITEM_0648,Croston,promedio_historico,176.6181
ITEM_0648,Croston,promedio_movil_historico,202.5597
ITEM_0648,SBA,ultimo_precio_conocido,245.8988
ITEM_0648,SBA,promedio_historico,175.6532
ITEM_0648,SBA,promedio_movil_historico,197.9706
ITEM_0648,Bootstrap,ultimo_precio_conocido,279.5285
