ItemAnonimo,Modelo,MetricaCantidadPrincipal,ValorMetricaCantidad,MAE_Cantidad
ITEM_0000,Croston,MASE,2.9603,60.3786
ITEM_0000,SBA,MASE,2.8801,58.743
ITEM_0000,Bootstrap,MASE,2.8412,57.9507
ITEM_0002,Croston,MASE,2.9351,20.8783
ITEM_0002,SBA,MASE,2.7884,19.8344
ITEM_0002,Bootstrap,MASE,1.8008,12.8094
ITEM_0009,Croston,MASE,1.5186,2.3496
ITEM_0009,SBA,MASE,1.4427,2.2321
ITEM_0009,Bootstrap,MASE,1.0164,1.5726
ITEM_0049,Croston,MASE,1.7649,3.3966
ITEM_0049,SBA,MASE,1.6767,3.2268
ITEM_0049,Bootstrap,MASE,0.9877,1.9008
ITEM_0124,Croston,MASE,1.3606,8.0608
ITEM_0124,SBA,MASE,1.2925,7.6577
ITEM_0124,Bootstrap,MASE,0.8425,4.9913
ITEM_0181,Croston,MASE,0.8235,78.2772
ITEM_0181,SBA,MASE,0.777,73.8633
ITEM_0181,Bootstrap,MASE,0.8865,84.271
ITEM_0645,Croston,MASE,0.9504,4.1423
ITEM_0645,SBA,MASE,0.9029,3.9351
ITEM_0645,Bootstrap,MASE,0.9204,4.0116
ITEM_0648,Croston,MASE,0.5119,7.3205
ITEM_0648,SBA,MASE,0.5195,7.4295
ITEM_0648,Bootstrap,MASE,0.4635,6.6289
ITEM_0679,Croston,MASE,1.3756,1.8687
ITEM_0679,SBA,MASE,1.3436,1.8253
ITEM_0679,Bootstrap,MASE,1.1793,1.602
ITEM_0749,Croston,MASE,0.7458,20.2631
ITEM_0749,SBA,MASE,0.745,20.2416
ITEM_0749,Bootstrap,MASE,0.7367,20.0168
ITEM_0914,Croston,MASE,0.6845,8.5621
ITEM_0914,SBA,MASE,0.6835,8.5507
ITEM_0914,Bootstrap,MASE,0.6985,8.7378
ITEM_0918,Croston,MASE,1.2971,34.2635
ITEM_0918,SBA,MASE,1.2941,34.1836
ITEM_0918,Bootstrap,MASE,1.2244,32.3426
ITEM_1185,Croston,MASE,0.5084,6.312
ITEM_1185,SBA,MASE,0.4776,5.9297
ITEM_1185,Bootstrap,MASE,0.8219,10.2045
ITEM_1204,Croston,MASE,0.8943,2.6998
ITEM_1204,SBA,MASE,0.8496,2.5648
ITEM_1204,Bootstrap,MASE,0.5423,1.6372
ITEM_1333,Croston,MASE,2.3254,13.2945
ITEM_1333,SBA,MASE,2.2092,12.6298
ITEM_1333,Bootstrap,MASE,1.362,7.7863
ITEM_1385,Croston,MASE,0.595,3.7494
ITEM_1385,SBA,MASE,0.5652,3.562
ITEM_1385,Bootstrap,MASE,0.6836,4.3078
ITEM_1404,Croston,MASE,0.6177,8.3217
ITEM_1404,SBA,MASE,0.6165,8.3056
ITEM_1404,Bootstrap,MASE,0.6365,8.5744
ITEM_1466,Croston,MASE,2.1217,40.5134
ITEM_1466,SBA,MASE,2.0157,38.4877
ITEM_1466,Bootstrap,MASE,1.3683,26.1273
ITEM_1528,Croston,MASE,0.7303,10.2519
ITEM_1528,SBA,MASE,0.7294,10.2393
ITEM_1528,Bootstrap,MASE,0.9515,13.357
ITEM_1599,Croston,MASE,1.4447,9.5408
ITEM_1599,SBA,MASE,1.3725,9.0638
ITEM_1599,Bootstrap,MASE,0.6779,4.4767
ITEM_1739,Croston,MASE,0.8349,1.2287
ITEM_1739,SBA,MASE,0.7931,1.1672
ITEM_1739,Bootstrap,MASE,0.7734,1.1382
ITEM_1764,Croston,MASE,0.7224,6.3248
ITEM_1764,SBA,MASE,0.6977,6.1085
ITEM_1764,Bootstrap,MASE,0.7755,6.7889
ITEM_1778,Croston,MASE,1.3013,2.7254
ITEM_1778,SBA,MASE,1.2363,2.5892
ITEM_1778,Bootstrap,MASE,0.6149,1.2878
ITEM_1919,Croston,MASE,1.6026,14.6951
ITEM_1919,SBA,MASE,1.5224,13.9603
ITEM_1919,Bootstrap,MASE,1.0519,9.6459
ITEM_2045,Croston,MASE,0.6417,8.9834
ITEM_2045,SBA,MASE,0.6179,8.6509
ITEM_2045,Bootstrap,MASE,0.6391,8.9477
ITEM_2105,Croston,MASE,2.0631,21.7213
ITEM_2105,SBA,MASE,1.96,20.6352
ITEM_2105,Bootstrap,MASE,1.3591,14.3089
ITEM_2112,Croston,MASE,0.9021,19.8802
ITEM_2112,SBA,MASE,0.857,18.8862
ITEM_2112,Bootstrap,MASE,0.5718,12.6015
ITEM_2215,Croston,MASE,1.7587,3.7165
ITEM_2215,SBA,MASE,1.6708,3.5307
ITEM_2215,Bootstrap,MASE,0.77,1.6271
ITEM_2529,Croston,MASE,2.8959,54.8031
ITEM_2529,SBA,MASE,2.7511,52.063
ITEM_2529,Bootstrap,MASE,1.5885,30.0613
ITEM_2598,Croston,MASE,0.6609,0.4489
ITEM_2598,SBA,MASE,0.6401,0.4348
ITEM_2598,Bootstrap,MASE,0.6519,0.4428
ITEM_2736,Croston,MASE,0.9918,8.0468
ITEM_2736,SBA,MASE,0.9422,7.6445
ITEM_2736,Bootstrap,MASE,0.5129,4.1611
ITEM_2745,Croston,MASE,1.3514,10.6579
ITEM_2745,SBA,MASE,1.2838,10.125
ITEM_2745,Bootstrap,MASE,0.7607,5.9992
