Nivel,Serie,Modelo,MetricaPrincipal,ValorMetricaPrincipal,MAE_USD,RMSE_USD,R2_complementario,tiempo_prediccion_seg
CATEGORIA,ACEITE,GradientBoosting,MAPE,360.2667,6309.78,7204.27,-0.6506,0.058
CATEGORIA,SERVICIOS DE MANTENIMIENTO,Prophet,MAPE,780.755,422842.49,476152.67,-0.9889,2.05
FLOTA,FLOTA_TOTAL,Naive,MAPE,126.4724,226627.98,345885.75,0.1072,0.0
NAVE,NAVE_001,Naive,MAPE,197.9914,226440.85,384128.74,-0.4946,0.0
NAVE,NAVE_002,Naive,MAPE,132.5789,16647.52,24348.44,-1.0297,0.0
NAVE,NAVE_004,Naive,MAPE,62.6919,2998.82,3765.78,0.1037,0.0
NAVE,NAVE_005,Naive,MAPE,454.2688,3778.96,4453.6,-1.0773,0.0
NAVE,NAVE_007,Naive,MAPE,56.0981,10140.58,12502.11,-0.8205,0.0
NAVE,NAVE_008,Naive,MAPE,122.0966,43576.73,63143.19,-0.755,0.0
NAVE,NAVE_010,Naive,MAPE,80.0029,3374.73,4877.52,-0.6493,0.0
NAVE,NAVE_011,Prophet,MAPE,312.1545,17033.29,20960.54,-14.7743,1.528
NAVE,NAVE_013,Naive,MAPE,230.1989,3294.85,4122.76,0.3379,0.0
NAVE,NAVE_014,Naive,MAPE,154.0857,4117.45,6345.65,-1.4265,0.0
NAVE_CATEGORIA,NAVE_001 | SERVICIOS DE MANTENIMIENTO,Naive,MAPE,458.9747,227741.56,423217.43,-0.7791,0.0
NAVE_CATEGORIA,NAVE_002 | SERVICIOS DE MANTENIMIENTO,Naive,MAPE,246.4157,11665.92,17296.82,-0.8717,0.0
NAVE_CATEGORIA,NAVE_004 | SERVICIOS DE MANTENIMIENTO,Naive,MAPE,169.9161,3091.3,3750.26,-0.5589,0.0
NAVE_CATEGORIA,NAVE_005 | SERVICIOS DE MANTENIMIENTO,Naive,MAPE,135.1664,2783.82,3482.34,-0.8277,0.0
NAVE_CATEGORIA,NAVE_007 | SERVICIOS DE MANTENIMIENTO,Naive,MAPE,149.9077,10382.25,11364.14,-2.1185,0.0
NAVE_CATEGORIA,NAVE_008 | SERVICIOS DE MANTENIMIENTO,SuavizadoExponencial,MAPE,299.6962,41556.89,53903.55,-1.3837,0.415
NAVE_CATEGORIA,NAVE_010 | SERVICIOS DE MANTENIMIENTO,Naive,MAPE,128.4204,1979.81,2887.79,-1.0215,0.0
NAVE_CATEGORIA,NAVE_011 | SERVICIOS DE MANTENIMIENTO,Naive,MAPE,156.2294,5257.02,6635.51,-0.632,0.0
NAVE_CATEGORIA,NAVE_013 | SERVICIOS DE MANTENIMIENTO,Naive,MAPE,285.628,2915.52,3915.44,-0.1359,0.0
NAVE_CATEGORIA,NAVE_014 | SERVICIOS DE MANTENIMIENTO,Naive,MAPE,260.6611,3971.93,5978.87,-1.5362,0.0
