Nivel,Serie,Modelo,MetricaPrincipal,ValorMetricaPrincipal,MAE_USD,RMSE_USD,R2_complementario
CATEGORIA,ACEITE,RandomForest,MAPE,1413.469,14146.99,15581.28,-3.3004
CATEGORIA,ACEITE,GradientBoosting,MAPE,1172.424,15500.86,18637.23,-5.1526
CATEGORIA,ACEITE,SuavizadoExponencial,MAPE,1292.8246,8777.29,11785.5,-1.4603
CATEGORIA,ACEITE,Prophet,MAPE,1279.9007,26749.21,35746.57,-21.6343
CATEGORIA,ACEITE,Naive,MAPE,2282.7352,13285.4,18778.65,-5.2464
CATEGORIA,SERVICIOS DE MANTENIMIENTO,RandomForest,MAPE,175.2454,256574.44,308358.81,-0.5361
CATEGORIA,SERVICIOS DE MANTENIMIENTO,GradientBoosting,MAPE,192.9431,272278.59,342362.06,-0.8936
CATEGORIA,SERVICIOS DE MANTENIMIENTO,SuavizadoExponencial,MAPE,208.4195,270360.65,341250.57,-0.8813
CATEGORIA,SERVICIOS DE MANTENIMIENTO,Prophet,MAPE,147.9671,247798.44,306928.25,-0.5219
CATEGORIA,SERVICIOS DE MANTENIMIENTO,Naive,MAPE,183.6659,287580.25,355038.91,-1.0364
FLOTA,FLOTA_TOTAL,RandomForest,MAPE,298.177,431837.2,505739.18,-2.4302
FLOTA,FLOTA_TOTAL,GradientBoosting,MAPE,283.4735,391559.76,502367.08,-2.3846
FLOTA,FLOTA_TOTAL,SuavizadoExponencial,MAPE,305.4267,450511.85,537323.8,-2.872
FLOTA,FLOTA_TOTAL,Prophet,MAPE,221.9523,473432.54,551276.83,-3.0757
FLOTA,FLOTA_TOTAL,Naive,MAPE,195.3993,329221.51,421302.77,-1.3804
NAVE,NAVE_001,RandomForest,MAPE,3296.2563,66624.34,78736.08,-93.5511
NAVE,NAVE_001,GradientBoosting,MAPE,3022.9821,66705.51,83845.53,-106.2207
NAVE,NAVE_001,SuavizadoExponencial,MAPE,3561.2912,56206.04,79018.84,-94.2314
NAVE,NAVE_001,Prophet,MAPE,2617.4796,134748.74,194318.93,-574.9026
NAVE,NAVE_001,Naive,MAPE,863.3103,32986.21,88628.54,-118.8025
NAVE,NAVE_002,RandomForest,MAPE,16656.3383,183988.28,264841.71,-0.0143
NAVE,NAVE_002,GradientBoosting,MAPE,5692.9016,185110.34,265015.53,-0.0156
NAVE,NAVE_002,SuavizadoExponencial,MAPE,10865.5471,233344.9,337764.17,-0.6497
NAVE,NAVE_002,Prophet,MAPE,18723.4331,256624.24,339308.57,-0.6648
NAVE,NAVE_002,Naive,MAPE,1784.8606,150681.98,216079.25,0.3248
NAVE,NAVE_004,RandomForest,MAPE,1728.5723,67437.2,74062.23,-1.2915
NAVE,NAVE_004,GradientBoosting,MAPE,1510.3308,62821.8,77460.29,-1.5066
NAVE,NAVE_004,SuavizadoExponencial,MAPE,1296.8748,46096.61,49278.35,-0.0145
NAVE,NAVE_004,Prophet,MAPE,4343.613,144859.17,158368.94,-9.4778
NAVE,NAVE_004,Naive,MAPE,349.2256,45447.8,84037.76,-1.9504
NAVE,NAVE_005,RandomForest,MAPE,6146.2232,114074.41,147892.94,-2.5319
NAVE,NAVE_005,GradientBoosting,MAPE,10298.1088,144692.83,215369.07,-6.4899
NAVE,NAVE_005,SuavizadoExponencial,MAPE,4725.2147,96052.85,117191.31,-1.2177
NAVE,NAVE_005,Prophet,MAPE,18772.4604,216100.58,273864.6,-11.111
NAVE,NAVE_005,Naive,MAPE,455.0774,49931.73,107176.1,-0.8548
NAVE,NAVE_007,RandomForest,MAPE,826.9081,38292.42,45055.93,-10.9317
NAVE,NAVE_007,GradientBoosting,MAPE,893.8917,38314.18,53623.26,-15.9007
NAVE,NAVE_007,SuavizadoExponencial,MAPE,1069.458,50355.12,65475.93,-24.1978
NAVE,NAVE_007,Prophet,MAPE,1093.664,78386.75,104603.06,-63.3113
NAVE,NAVE_007,Naive,MAPE,250.4014,14028.13,20746.26,-1.5298
NAVE,NAVE_008,RandomForest,MAPE,276.5584,36307.18,57377.93,-0.2871
NAVE,NAVE_008,GradientBoosting,MAPE,215.7553,34462.88,59226.36,-0.3713
NAVE,NAVE_008,SuavizadoExponencial,MAPE,255.5514,32880.42,49597.78,0.0383
NAVE,NAVE_008,Prophet,MAPE,803.183,85967.82,102620.47,-3.1169
NAVE,NAVE_008,Naive,MAPE,122.3798,38754.71,71950.42,-1.0238
NAVE,NAVE_010,RandomForest,MAPE,1691.0101,25501.91,31451.18,-0.2069
NAVE,NAVE_010,GradientBoosting,MAPE,2087.8886,22294.13,29016.69,-0.0273
NAVE,NAVE_010,SuavizadoExponencial,MAPE,1767.3321,30279.93,38094.55,-0.7707
NAVE,NAVE_010,Prophet,MAPE,2387.8984,59281.53,66117.43,-4.3339
NAVE,NAVE_010,Naive,MAPE,275.8992,18368.42,27610.93,0.0698
NAVE,NAVE_011,RandomForest,MAPE,2722.104,24545.74,31808.15,-1.4949
NAVE,NAVE_011,GradientBoosting,MAPE,1609.4473,21922.31,27804.73,-0.9064
NAVE,NAVE_011,SuavizadoExponencial,MAPE,1084.9701,23597.88,40387.29,-3.0223
NAVE,NAVE_011,Prophet,MAPE,488.8367,59363.9,94612.48,-21.0739
NAVE,NAVE_011,Naive,MAPE,1214.4605,12640.24,16259.27,0.3481
NAVE,NAVE_013,RandomForest,MAPE,508.4036,4608.02,6964.87,-3.0538
NAVE,NAVE_013,GradientBoosting,MAPE,287.7715,4693.08,9168.15,-6.0242
NAVE,NAVE_013,SuavizadoExponencial,MAPE,385.2904,6124.23,12306.42,-11.6561
NAVE,NAVE_013,Prophet,MAPE,877.3323,9859.39,21032.63,-35.9678
