Nivel,Serie,ModeloSeleccionado
CATEGORIA,ACEITE,GradientBoosting
CATEGORIA,SERVICIOS DE MANTENIMIENTO,Prophet
FLOTA,FLOTA_TOTAL,Naive
NAVE,NAVE_001,Naive
NAVE,NAVE_002,Naive
NAVE,NAVE_004,Naive
NAVE,NAVE_005,Naive
NAVE,NAVE_007,Naive
NAVE,NAVE_008,Naive
NAVE,NAVE_010,Naive
NAVE,NAVE_011,Prophet
NAVE,NAVE_013,Naive
NAVE,NAVE_014,Naive
NAVE_CATEGORIA,NAVE_001 | SERVICIOS DE MANTENIMIENTO,Naive
NAVE_CATEGORIA,NAVE_002 | SERVICIOS DE MANTENIMIENTO,Naive
NAVE_CATEGORIA,NAVE_004 | SERVICIOS DE MANTENIMIENTO,Naive
NAVE_CATEGORIA,NAVE_005 | SERVICIOS DE MANTENIMIENTO,Naive
NAVE_CATEGORIA,NAVE_007 | SERVICIOS DE MANTENIMIENTO,Naive
NAVE_CATEGORIA,NAVE_008 | SERVICIOS DE MANTENIMIENTO,SuavizadoExponencial
NAVE_CATEGORIA,NAVE_010 | SERVICIOS DE MANTENIMIENTO,Naive
NAVE_CATEGORIA,NAVE_011 | SERVICIOS DE MANTENIMIENTO,Naive
NAVE_CATEGORIA,NAVE_013 | SERVICIOS DE MANTENIMIENTO,Naive
NAVE_CATEGORIA,NAVE_014 | SERVICIOS DE MANTENIMIENTO,Naive
