Nivel,Serie,Mes,Real,Prediccion
CATEGORIA,ACEITE,2025-01,11525.17,16617.30205360158
CATEGORIA,ACEITE,2025-02,9056.94,3234.275840494073
CATEGORIA,ACEITE,2025-03,7791.929999999999,6838.710446349539
CATEGORIA,ACEITE,2025-04,13402.89,6915.718869850434
CATEGORIA,ACEITE,2025-05,14048.63,6108.002364286185
CATEGORIA,ACEITE,2025-06,14619.1,7007.967906171582
CATEGORIA,ACEITE,2025-07,15043.35,5119.802003744005
CATEGORIA,ACEITE,2025-08,15642.96,5622.777415897141
CATEGORIA,ACEITE,2025-09,10808.71,10741.508900092067
CATEGORIA,ACEITE,2025-10,349.42,3143.053197711235
CATEGORIA,ACEITE,2025-11,947.09,8030.585343897921
CATEGORIA,ACEITE,2025-12,503.6,12426.00781587233
CATEGORIA,SERVICIOS DE MANTENIMIENTO,2025-01,80211.52,974258.9451830643
CATEGORIA,SERVICIOS DE MANTENIMIENTO,2025-02,145541.03,730419.0071951551
CATEGORIA,SERVICIOS DE MANTENIMIENTO,2025-03,76026.03,289381.218408058
CATEGORIA,SERVICIOS DE MANTENIMIENTO,2025-04,162312.21999999997,276031.632217094
CATEGORIA,SERVICIOS DE MANTENIMIENTO,2025-05,169524.53,494419.88812440087
CATEGORIA,SERVICIOS DE MANTENIMIENTO,2025-06,565237.35,199523.74823448883
CATEGORIA,SERVICIOS DE MANTENIMIENTO,2025-07,1248514.1399999997,450946.1461036381
CATEGORIA,SERVICIOS DE MANTENIMIENTO,2025-08,273826.76,675674.724296591
CATEGORIA,SERVICIOS DE MANTENIMIENTO,2025-09,90111.56,444641.62412390066
CATEGORIA,SERVICIOS DE MANTENIMIENTO,2025-10,12972.6,431449.43980198016
CATEGORIA,SERVICIOS DE MANTENIMIENTO,2025-11,13782.15,312664.70344596694
CATEGORIA,SERVICIOS DE MANTENIMIENTO,2025-12,24554.7,330750.2496478012
FLOTA,FLOTA_TOTAL,2025-01,105494.61,97703.95
FLOTA,FLOTA_TOTAL,2025-02,180469.4,105494.61
FLOTA,FLOTA_TOTAL,2025-03,111799.37,180469.4
FLOTA,FLOTA_TOTAL,2025-04,210720.89,111799.37
FLOTA,FLOTA_TOTAL,2025-05,262179.88,210720.89
FLOTA,FLOTA_TOTAL,2025-06,690462.6500000001,262179.88
FLOTA,FLOTA_TOTAL,2025-07,1333596.7799999998,690462.6500000001
FLOTA,FLOTA_TOTAL,2025-08,524909.6900000001,1333596.7799999998
FLOTA,FLOTA_TOTAL,2025-09,143639.71,524909.6900000001
FLOTA,FLOTA_TOTAL,2025-10,17249.45,143639.71
FLOTA,FLOTA_TOTAL,2025-11,32072.9,17249.45
FLOTA,FLOTA_TOTAL,2025-12,47204.94,32072.9
NAVE,NAVE_001,2025-01,17959.0,11099.06
NAVE,NAVE_001,2025-02,23237.35,17959.0
NAVE,NAVE_001,2025-03,38104.05,23237.35
NAVE,NAVE_001,2025-04,38266.56,38104.05
NAVE,NAVE_001,2025-05,70978.70000000001,38266.56
NAVE,NAVE_001,2025-06,363008.41,70978.70000000001
NAVE,NAVE_001,2025-07,1032043.49,363008.41
NAVE,NAVE_001,2025-08,151664.58000000002,1032043.49
NAVE,NAVE_001,2025-09,15020.289999999995,151664.58000000002
NAVE,NAVE_002,2025-01,24319.51,38040.04
NAVE,NAVE_002,2025-02,64500.77,24319.51
NAVE,NAVE_002,2025-03,7897.860000000001,64500.77
NAVE,NAVE_002,2025-04,18537.230000000003,7897.860000000001
NAVE,NAVE_002,2025-05,10385.16,18537.230000000003
NAVE,NAVE_002,2025-06,18100.39,10385.16
NAVE,NAVE_002,2025-07,14966.55,18100.39
NAVE,NAVE_002,2025-08,6058.949999999999,14966.55
NAVE,NAVE_002,2025-09,6833.849999999999,6058.949999999999
NAVE,NAVE_004,2025-01,7720.0,9676.64
NAVE,NAVE_004,2025-02,2223.0,7720.0
NAVE,NAVE_004,2025-03,2104.2,2223.0
NAVE,NAVE_004,2025-04,9931.87,2104.2
NAVE,NAVE_004,2025-05,13063.94,9931.87
NAVE,NAVE_004,2025-06,14156.43,13063.94
NAVE,NAVE_004,2025-07,8715.929999999998,14156.43
NAVE,NAVE_004,2025-08,6056.369999999999,8715.929999999998
NAVE,NAVE_004,2025-09,7430.08,6056.369999999999
NAVE,NAVE_004,2025-10,2642.82,7430.08
NAVE,NAVE_004,2025-11,3971.52,2642.82
NAVE,NAVE_004,2025-12,3200.0600000000004,3971.52
NAVE,NAVE_005,2025-01,6040.0,2664.05
NAVE,NAVE_005,2025-02,1410.0,6040.0
NAVE,NAVE_005,2025-03,7300.16,1410.0
NAVE,NAVE_005,2025-04,7540.0,7300.16
NAVE,NAVE_005,2025-05,9120.24,7540.0
NAVE,NAVE_005,2025-06,4500.86,9120.24
NAVE,NAVE_005,2025-07,99.75,4500.86
NAVE,NAVE_005,2025-08,3772.48,99.75
NAVE,NAVE_005,2025-09,2266.49,3772.48
NAVE,NAVE_005,2025-10,1524.1,2266.49
NAVE,NAVE_005,2025-11,10098.05,1524.1
NAVE,NAVE_005,2025-12,3982.23,10098.05
NAVE,NAVE_007,2025-01,7488.61,16069.06
NAVE,NAVE_007,2025-02,19052.92,7488.61
NAVE,NAVE_007,2025-03,16188.259999999998,19052.92
NAVE,NAVE_007,2025-04,19863.51,16188.259999999998
NAVE,NAVE_007,2025-05,10271.35,19863.51
NAVE,NAVE_007,2025-06,18077.11,10271.35
NAVE,NAVE_007,2025-07,15038.88,18077.11
NAVE,NAVE_007,2025-08,41645.280000000006,15038.88
NAVE,NAVE_007,2025-09,24107.27,41645.280000000006
NAVE,NAVE_008,2025-01,24716.59,6414.540000000001
NAVE,NAVE_008,2025-02,50384.95999999999,24716.59
NAVE,NAVE_008,2025-03,11080.149999999998,50384.95999999999
NAVE,NAVE_008,2025-04,16053.5,11080.149999999998
NAVE,NAVE_008,2025-05,18879.69,16053.5
NAVE,NAVE_008,2025-06,13242.929999999998,18879.69
NAVE,NAVE_008,2025-07,163832.9,13242.929999999998
NAVE,NAVE_008,2025-08,84087.61,163832.9
NAVE,NAVE_008,2025-09,18943.79,84087.61
NAVE,NAVE_010,2025-01,585.0,392.4
NAVE,NAVE_010,2025-02,630.4,585.0
NAVE,NAVE_010,2025-03,434.78,630.4
NAVE,NAVE_010,2025-04,9661.23,434.78
NAVE,NAVE_010,2025-05,2644.73,9661.23
NAVE,NAVE_010,2025-06,1553.88,2644.73
NAVE,NAVE_010,2025-07,2433.36,1553.88
NAVE,NAVE_010,2025-08,7001.050000000001,2433.36
NAVE,NAVE_010,2025-09,13222.0,7001.050000000001
