Nivel,Serie,Mes,Real,Pred_RandomForest,Pred_GradientBoosting,Pred_SuavizadoExponencial,Pred_Prophet,Pred_Naive
CATEGORIA,ACEITE,2024-01,816.0,21445.03369075498,21744.38636633303,23096.666718533863,20551.608452774493,45471.19
CATEGORIA,ACEITE,2024-03,1984.39,28820.958345235038,41498.521300541295,9690.578435655616,15153.789518275404,816.0
CATEGORIA,ACEITE,2024-04,26196.84,10556.758009974998,13055.34436091135,33252.156575951725,14395.78295462494,1984.39
CATEGORIA,ACEITE,2024-05,170.0,12280.359876484992,6450.308081601802,10270.171065258062,-8204.147920576026,26196.84
CATEGORIA,ACEITE,2024-07,2504.04,16994.92712584999,18462.421039229124,6970.426318574377,11745.838264799677,170.0
CATEGORIA,ACEITE,2024-08,9201.03,17114.862568569977,17694.289453463727,13021.046074994385,79762.15440982993,2504.04
CATEGORIA,ACEITE,2024-09,5341.77,24416.20641839002,30384.113823019205,4327.724701138613,-2511.151269312435,9201.03
CATEGORIA,ACEITE,2024-10,11386.44,15081.606253129998,9846.297045016365,13230.267656192984,82827.38237733612,5341.77
CATEGORIA,ACEITE,2024-11,706.65,14284.115100754998,15501.537774795237,25640.14353546198,-15855.642998525851,11386.44
CATEGORIA,ACEITE,2024-12,7883.08,15385.163779499971,17198.34584182935,12435.906444922748,46635.92994650308,706.65
CATEGORIA,SERVICIOS DE MANTENIMIENTO,2024-01,61212.92,543551.7144720119,664030.7721021732,784909.5786844013,-224600.81673258383,785945.979988
CATEGORIA,SERVICIOS DE MANTENIMIENTO,2024-02,254612.76,276284.4518485703,55369.75773010204,295885.46889253065,185293.68778839667,61212.92
CATEGORIA,SERVICIOS DE MANTENIMIENTO,2024-03,136198.41999999998,216252.08268215318,205106.68708191346,282720.61953877605,490129.66315865546,254612.76
CATEGORIA,SERVICIOS DE MANTENIMIENTO,2024-04,139221.93,254715.14483688315,274840.79542331694,421500.5394255545,264590.6235153643,136198.41999999998
CATEGORIA,SERVICIOS DE MANTENIMIENTO,2024-05,604845.55,182636.46127725314,192779.36500082433,259018.55591603482,512399.3207126651,139221.93
CATEGORIA,SERVICIOS DE MANTENIMIENTO,2024-06,183896.96,470117.7111280178,571799.7352659479,329951.7013010989,35234.3646807248,604845.55
CATEGORIA,SERVICIOS DE MANTENIMIENTO,2024-07,476340.4900000001,347714.5573639849,450610.72244267527,522765.5704431359,992403.4046590955,183896.96
CATEGORIA,SERVICIOS DE MANTENIMIENTO,2024-08,899268.9500000001,429732.96203805425,440306.13347879506,307541.05620556726,430882.0176779317,476340.4900000001
CATEGORIA,SERVICIOS DE MANTENIMIENTO,2024-09,496643.42,582992.6739903794,465500.7043115707,341338.1271676202,210578.2582824629,899268.9500000001
CATEGORIA,SERVICIOS DE MANTENIMIENTO,2024-10,433771.32,655483.3190189681,682649.9323311157,367994.54391804663,412208.78948152234,496643.42
CATEGORIA,SERVICIOS DE MANTENIMIENTO,2024-11,100004.63,627225.9433077705,715966.7744519812,497435.4763384818,648681.3928390562,433771.32
CATEGORIA,SERVICIOS DE MANTENIMIENTO,2024-12,89820.87000000001,327282.51644381793,169930.9526846134,391830.8845659436,32535.458052146714,100004.63
FLOTA,FLOTA_TOTAL,2024-01,74552.4,1028740.0921154827,1047291.8078041815,1202583.7183070194,-110683.87880639522,1056943.205088
FLOTA,FLOTA_TOTAL,2024-02,272594.68,852478.7621521647,776762.8643459505,864561.3941407772,909728.4817966332,74552.4
FLOTA,FLOTA_TOTAL,2024-03,154127.22,420389.4868203306,306444.9097977293,506242.9498541772,669080.5602910061,272594.68
FLOTA,FLOTA_TOTAL,2024-04,206085.82,441090.27547730523,311018.20274543366,646639.3352305025,548971.4961081113,154127.22
FLOTA,FLOTA_TOTAL,2024-05,761770.7800000001,311209.2198037751,327690.1183050086,169147.72370360742,811536.4714608119,206085.82
FLOTA,FLOTA_TOTAL,2024-06,235153.58,557649.1938719953,606066.4373466253,579203.4777342455,563147.9169264016,761770.7800000001
FLOTA,FLOTA_TOTAL,2024-07,583715.65,462666.69030506,556807.5958757185,769130.6546339439,1491801.9355941322,235153.58
FLOTA,FLOTA_TOTAL,2024-08,925177.17,539311.4356080556,507522.1899066469,471868.19670118607,1057858.5050127204,583715.65
FLOTA,FLOTA_TOTAL,2024-09,567614.49,676843.4855512263,601013.092280555,634392.0447215474,1056468.6115538944,925177.17
FLOTA,FLOTA_TOTAL,2024-10,492736.33,766326.890774795,696451.9108673693,559466.1937553665,1496034.7758296696,567614.49
FLOTA,FLOTA_TOTAL,2024-11,103883.30999999998,983794.0874816285,1123895.3425617137,923868.2763978456,774787.3085475656,492736.33
FLOTA,FLOTA_TOTAL,2024-12,97703.95,701709.6991649659,555580.6820041584,462289.56130738417,517101.15648919455,103883.30999999998
NAVE,NAVE_001,2024-01,3862.12,158254.81441111013,186873.27876245728,68769.80054803703,43129.17913226687,296658.86
NAVE,NAVE_001,2024-02,4875.0,51787.255326256534,12474.912922967429,81270.0088424831,155905.03109325803,3862.12
NAVE,NAVE_001,2024-03,6743.26,76151.12672185466,37352.230218344484,101026.25595756594,37462.53626608955,4875.0
NAVE,NAVE_001,2024-04,1377.6,119576.511749711,125384.9692087796,209243.93342249776,-45077.59278341345,6743.26
NAVE,NAVE_001,2024-06,9672.12,62711.20629021548,44170.736386241486,26397.564096350638,492120.85136870993,1377.6
NAVE,NAVE_001,2024-07,3119.15,64394.68152226841,94023.7344743469,18549.9461230812,13321.129384240216,9672.12
NAVE,NAVE_001,2024-08,305.08,54758.00419380224,43183.300471054776,55831.18221116975,-36154.118965468704,3119.15
NAVE,NAVE_001,2024-09,15755.2,31963.615248750277,66063.52177856189,64425.37492820832,181336.66006915548,305.08
NAVE,NAVE_001,2024-10,27773.660000000003,13566.79537624972,5472.779243580727,19798.362603899808,215107.28819613875,15755.2
NAVE,NAVE_001,2024-11,19176.17,53551.96547995608,59490.28945695911,8333.609686964744,319421.8865300964,27773.660000000003
NAVE,NAVE_001,2024-12,11099.06,121496.40916229137,118427.53213362639,30743.10994057793,43592.97930493236,19176.17
NAVE,NAVE_002,2024-01,60.58,107221.91486904034,34019.98094370504,68826.84542578495,120728.2612274901,9863.525
NAVE,NAVE_002,2024-02,14439.07,48832.70014869984,9407.19015702961,45698.00867999112,51329.51393573565,60.58
NAVE,NAVE_002,2024-04,3325.0,68524.1152532769,99977.26629594176,49902.35096953527,39004.892349544716,14439.07
NAVE,NAVE_002,2024-05,4150.0,28081.01181443724,17384.774843078314,36753.03790418153,92542.27591656859,3325.0
NAVE,NAVE_002,2024-06,43267.64,47294.23652340952,67612.8955784007,15042.025870929392,-81808.29365630998,4150.0
NAVE,NAVE_002,2024-07,466781.98,49490.50965964296,92037.129165454,155871.4546697296,184471.85834453476,43267.64
NAVE,NAVE_002,2024-08,804341.0,164228.23462077093,179081.53683872375,81124.28154754352,128253.2994673509,466781.98
NAVE,NAVE_002,2024-09,482191.16,532191.6311678228,791569.2983404445,1149184.9576184954,-167609.21775237922,804341.0
NAVE,NAVE_002,2024-10,282378.96,510170.0072248893,487870.9291184679,559874.2981297537,-157068.2313178645,482191.16
NAVE,NAVE_002,2024-11,10595.4,317387.3596220405,309873.67565321067,325708.06259198283,-227196.8489400073,282378.96
NAVE,NAVE_002,2024-12,38040.04,185211.7464798538,-10797.415717828791,103673.7292431595,-92682.73892467175,10595.4
NAVE,NAVE_004,2024-01,51030.98,111121.62714166667,147429.11486170537,70246.98661919349,-134621.71356470365,260047.08000000005
NAVE,NAVE_004,2024-02,180681.85000000003,69085.64540071435,81801.69208055451,270350.17998612527,335580.8029961623,51030.98
NAVE,NAVE_004,2024-03,27785.17,127497.57678041665,135318.4178531491,79435.47927310085,164342.20756534062,180681.85000000003
NAVE,NAVE_004,2024-04,1045.56,80136.06239845855,64828.48029192718,56410.253329076324,183368.5711522236,27785.17
NAVE,NAVE_004,2024-05,3234.85,73886.86463478279,8761.491508800105,63545.8024510502,165070.1338725912,1045.56
NAVE,NAVE_004,2024-06,2321.56,85143.89469398498,148135.98164687902,40500.24142715069,169398.40286624624,3234.85
NAVE,NAVE_004,2024-07,8008.110000000001,64907.66066989466,40002.521862461734,54001.318069771696,142940.4687536714,2321.56
NAVE,NAVE_004,2024-08,2536.96,45553.5160445508,42459.58039047377,47128.250901835825,153619.76142437826,8008.110000000001
NAVE,NAVE_004,2024-09,3224.0,54638.92819770372,48981.39530962413,51392.391398960855,14031.597125171495,2536.96
NAVE,NAVE_004,2024-10,1710.0,28958.96771310322,8636.484259020952,36101.05331110796,192527.23102525092,3224.0
NAVE,NAVE_004,2024-11,10997.84,23318.898898026553,5591.628470073654,35370.81001609524,252942.1104129094,1710.0
NAVE,NAVE_004,2024-12,9676.64,124057.83932739908,115595.55932625987,50930.046603997645,30058.593133469258,10997.84
NAVE,NAVE_005,2024-01,1292.0,315576.24988658034,492643.7084821862,77283.36951206265,165026.4533940176,12620.45
NAVE,NAVE_005,2024-02,17765.0,94045.17127825398,33991.799156768095,69925.50854068833,134875.87475026003,1292.0
NAVE,NAVE_005,2024-03,33158.869999999995,21126.595904572845,25630.639666699662,65019.39070192966,73049.40345604303,17765.0
NAVE,NAVE_005,2024-04,53246.24999999999,14951.266520863299,9756.897097157103,71028.4156428699,22029.898562477465,33158.869999999995
NAVE,NAVE_005,2024-05,291097.48000000004,37049.23617934643,42342.189987645244,34235.32816505712,79674.1800785102,53246.24999999999
NAVE,NAVE_005,2024-06,8007.5,185353.6795752383,247556.90249093194,97369.1778761137,4940.429650947888,291097.48000000004
NAVE,NAVE_005,2024-07,10719.15,153775.6728476949,191969.28080130366,109985.36395670398,172771.44655059895,8007.5
NAVE,NAVE_005,2024-08,2033.0,57075.72386652563,54490.05389364345,81653.41270253657,323990.5440816175,10719.15
NAVE,NAVE_005,2024-09,640.0,38514.96276818938,50531.291692555234,80853.92472142146,340635.0270242339,2033.0
NAVE,NAVE_005,2024-10,569.0,179219.66824115094,394911.85364684096,59297.251471638585,623079.7640933516,640.0
NAVE,NAVE_005,2024-11,1195.0,47895.29291060164,-9042.16621710124,214227.52716296614,-215292.38818119685,569.0
NAVE,NAVE_005,2024-12,2664.05,37945.723788129406,1429.3393092335198,100418.52842744309,366425.3536117624,1195.0
NAVE,NAVE_007,2024-01,1780.24,92460.64818418998,118596.30104236896,86547.17903369923,91291.85934102036,37649.80998799999
NAVE,NAVE_007,2024-02,11782.76,75292.34415147,59992.72129049322,72749.89124804271,71983.6151895536,1780.24
NAVE,NAVE_007,2024-03,6087.09,73682.99074069005,78032.3144020204,62605.10855199017,58387.65163840839,11782.76
NAVE,NAVE_007,2024-04,4512.0,34813.45304565996,4482.197571410263,53002.99501652497,46126.05278530196,6087.09
NAVE,NAVE_007,2024-05,5312.4,40879.30782421998,5912.207894142848,44600.27394330217,35529.895449109186,4512.0
