ItemCode,NumeroDescripcionesOriginales,NumeroDescripcionesNormalizadas,DescripcionMasFrecuente,PorcentajeCorrespondencia,PrimeraFecha,UltimaFecha,CategoriasAsociadas,ClasificacionCorrespondencia
300365,1,1,SENSOR DE PRESION (194-6725),100.0,2025-12-01 00:00:00,2025-12-01 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
300571,1,1,SEAL-O-RING 6V-5048 (C7 MAR M7G00203),100.0,2024-04-15 00:00:00,2024-04-15 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
300579,1,1,SEAL-O-RING 3D-2824 (C7 MAR M7G00203),100.0,2025-06-01 00:00:00,2025-06-01 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
300683,1,1,SENSOR L.O. PRESS.(VDO 360 081032 003C),100.0,2024-10-08 00:00:00,2024-10-08 00:00:00,REPUESTOS ELECTRICOS,Correspondencia univoca
300688,1,1,BUTT VALVE W/HYDR.ACT. DN150 WAFER TYPE,100.0,2025-05-01 00:00:00,2025-05-01 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
300724,1,1,VALVE TAPPET NORMAL (51.04301-0106),100.0,2024-10-11 00:00:00,2024-10-11 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
300726,1,1,VALVE GUIDE NORMAL (51.03201-0102),100.0,2024-10-11 00:00:00,2024-10-11 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
300729,1,1,OIL PUMP (51.05100-6133),100.0,2024-10-11 00:00:00,2024-10-11 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
300732,1,1,INJECTION NOZZLE (51.10102-0215),100.0,2024-10-11 00:00:00,2024-10-11 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
300733,1,1,"SEAL 9,5X20X1-CU (51.98701-0065)",100.0,2024-10-11 00:00:00,2024-10-11 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
300738,1,1,WATER PUMP REPAIR KIT(51.06599-6033),100.0,2025-06-01 00:00:00,2025-06-01 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
300739,1,1,COOLANT PUMP SEAL (51.06901.0160),100.0,2024-10-11 00:00:00,2024-10-11 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
300740,1,1,COOLANT PUMP SEAL (51.06901.0108),100.0,2024-10-11 00:00:00,2024-10-11 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
300745,1,1,WATER DRAIN PIPE (51.06301-5941),100.0,2024-10-11 00:00:00,2024-10-11 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
300746,1,1,STRAIGHT UNION (06.71060.2106),100.0,2024-10-11 00:00:00,2024-10-11 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
300756,1,1,SEALANTS 75 ML (04.90300-9030),100.0,2024-10-11 00:00:00,2024-10-11 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
300758,1,1,FILLER CAP (81.06110-0002),100.0,2024-10-11 00:00:00,2024-10-11 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
300765,1,1,CYLINDER LINER (51.01201-0468),100.0,2024-10-11 00:00:00,2024-10-11 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
300768,1,1,CAMSHAFT BUSH 1(51.04410-0139),100.0,2024-10-11 00:00:00,2024-10-11 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
300769,1,1,CAMSHAFT BUSH 2-5/6(51.04410-0121),100.0,2024-10-11 00:00:00,2024-10-11 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
300775,1,1,RACE (51.02130-0013),100.0,2024-10-11 00:00:00,2024-10-11 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
300778,1,1,THRUST WASHER (51.01114.6116),100.0,2024-10-11 00:00:00,2024-10-11 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
300779,1,1,PISTON NORMAL (51.02501-7621),100.0,2024-10-11 00:00:00,2024-10-11 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
300783,1,1,CONROD BEARING (51.02410-6533),100.0,2025-08-01 00:00:00,2025-08-01 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
300787,1,1,SEAL VALVE STEAM (51.04902-0028),100.0,2024-10-11 00:00:00,2024-10-11 00:00:00,REPUESTOS MECANICOS,Correspondencia univoca
300806,1,1,"ANILLO PLANO DE 3/4 """,100.0,2025-12-01 00:00:00,2025-12-01 00:00:00,SERVICIOS DE MANTENIMIENTO,Correspondencia univoca
300817,1,1,ARCO DE SIERRA AJUSTABLE,100.0,2024-04-08 00:00:00,2024-04-08 00:00:00,FERRETERIA,Correspondencia univoca
300835,1,1,"ANGULO DE H/N 3 "" X 3 "" X 8MM",100.0,2024-07-08 00:00:00,2024-07-08 00:00:00,FERRETERIA,Correspondencia univoca
300837,1,1,"ANGULO DE H/N 3 ""X3 "" X 1/4 ""(6MM)",100.0,2025-07-01 00:00:00,2025-09-01 00:00:00,FERRETERIA,Correspondencia univoca
300852,1,1,"NEPLO AC INOX 3/4"" X 6"" LARGO",100.0,2024-09-04 00:00:00,2024-09-04 00:00:00,FERRETERIA,Correspondencia univoca
300854,1,1,ANGULO DE A/INOX L/C 40X6MM,100.0,2024-09-04 00:00:00,2024-09-04 00:00:00,FERRETERIA,Correspondencia univoca
300855,1,1,"ANGULO DE A/N 3 ""X3 "" X 9MM",100.0,2025-08-01 00:00:00,2025-08-01 00:00:00,FERRETERIA,Correspondencia univoca
300862,1,1,"ANGULO DE H/N 2 "" X 1/4 ""(50 X 6MM)",100.0,2024-09-04 00:00:00,2024-09-04 00:00:00,FERRETERIA,Correspondencia univoca
300863,1,1,"ANGULO DE H/N 2 "" X 2 "" X 1/4 "" (6MM)",100.0,2024-07-04 00:00:00,2025-09-01 00:00:00,FERRETERIA,Correspondencia univoca
300864,1,1,"ANGULO DE H/N 2"" X 2 ""X 6MM",100.0,2024-07-04 00:00:00,2025-09-01 00:00:00,FERRETERIA,Correspondencia univoca
300871,1,1,"AMARRA PLASTICA DE 10 CM X 3/16 """,100.0,2024-03-21 00:00:00,2024-06-24 00:00:00,FERRETERIA,Correspondencia univoca
300872,1,1,"AMARRA PLASTICA DE 15 CM X 3/16 """,100.0,2024-03-21 00:00:00,2025-09-01 00:00:00,"FERRETERIA, FILTROS",Correspondencia univoca
300873,1,1,"AMARRA PLASTICA DE 20 CM X 3/16 """,100.0,2024-04-08 00:00:00,2025-09-01 00:00:00,FERRETERIA,Correspondencia univoca
300874,1,1,"AMARRA PLASTICA DE 25 CM X 3/16 """,100.0,2024-03-20 00:00:00,2025-12-01 00:00:00,"FERRETERIA, REPUESTOS MECANICOS",Correspondencia univoca
300875,1,1,"AMARRA PLASTICA DE 31 CM X 3/16 """,100.0,2024-04-09 00:00:00,2025-12-01 00:00:00,FERRETERIA,Correspondencia univoca
300876,1,1,"AMARRA PLASTICA DE 38 CM X 3/16 """,100.0,2024-04-08 00:00:00,2024-04-08 00:00:00,FERRETERIA,Correspondencia univoca
300877,1,1,AMARRA PLASTICA DE 55 CM X 8 MM,100.0,2024-03-21 00:00:00,2024-06-24 00:00:00,FERRETERIA,Correspondencia univoca
300880,1,1,"ABRAZ. AC. GALV. TP. U 3 ""X 5/8 """,100.0,2025-08-01 00:00:00,2025-08-01 00:00:00,FERRETERIA,Correspondencia univoca
300882,1,1,"ABRAZ. AC. GALV. TP. U 3X 3/8 """,100.0,2025-08-01 00:00:00,2025-08-01 00:00:00,FERRETERIA,Correspondencia univoca
300883,1,1,"ABRAZ. AC. GALV. TP. U 4 ""X 5/8 """,100.0,2025-08-01 00:00:00,2025-08-01 00:00:00,FERRETERIA,Correspondencia univoca
300885,1,1,"ABRAZ. DE AC. INOX. DE 1 1/2 "" P/MANG.",100.0,2024-09-10 00:00:00,2024-09-10 00:00:00,FERRETERIA,Correspondencia univoca
300886,1,1,"ABRAZ. DE AC. INOX. DE 1 1/4 "" P/MANG.",100.0,2024-09-10 00:00:00,2024-09-10 00:00:00,FERRETERIA,Correspondencia univoca
300887,1,1,"ABRAZ. DE AC. INOX. DE 1 3/4 "" P/MANG.",100.0,2024-09-18 00:00:00,2024-09-18 00:00:00,FERRETERIA,Correspondencia univoca
300888,1,1,"ABRAZ. DE AC. INOX. DE 1 "" P/MANG.",100.0,2024-09-10 00:00:00,2024-09-10 00:00:00,FERRETERIA,Correspondencia univoca
300889,1,1,"ABRAZ. DE AC. INOX. DE 1/2 "" P/MANG.",100.0,2024-09-18 00:00:00,2024-09-18 00:00:00,FERRETERIA,Correspondencia univoca
